FIGHTER,WEIGHTCLASS
Kyler Phillips,Bantamweight
Pedro Munhoz,Bantamweight
Petr Yan,Bantamweight
Song Yadong,Bantamweight
Marlon Vera,Bantamweight
Sean O'Malley,Bantamweight
Aiemann Zahabi,Bantamweight
Javid Basharat,Bantamweight
Bekzat Almakhan,Bantamweight
Umar Nurmagomedov,Bantamweight
Benardo Sopaj,Bantamweight
Vinicius Oliveira,Bantamweight
Cristian Quinonez,Bantamweight
Raoni Barcelos,Bantamweight
Henry Cejudo,Bantamweight
Merab Dvalishvili,Bantamweight
Carlos Vera,Bantamweight
Rinya Nakamura,Bantamweight
Aoriqileng,Bantamweight
Daniel Marcos,Bantamweight
Brad Katona,Bantamweight
Garrett Armfield,Bantamweight
Ramon Taveras,Bantamweight
Serhiy Sidey,Bantamweight
Farid Basharat,Bantamweight
Taylor Lapilus,Bantamweight
Gaston Bolanos,Bantamweight
Marcus McGhee,Bantamweight
Mario Bautista,Bantamweight
Ricky Simon,Bantamweight
Brian Kelleher,Bantamweight
Cody Garbrandt,Bantamweight
Chris Gutierrez,Bantamweight
Sumudaerji,Bantamweight
Tim Elliott,Bantamweight
Deiveson Figueiredo,Bantamweight
Rob Font,Bantamweight
Chad Anheliger,Bantamweight
Jose Johnson,Bantamweight
Nick Aguirre,Bantamweight
Payton Talbott,Bantamweight
Alatengheili,Bantamweight
Cameron Saaiman,Bantamweight
Christian Rodriguez,Bantamweight
Adrian Yanez,Bantamweight
Jonathan Martinez,Bantamweight
Johnny Munoz,Bantamweight
Dan Argueta,Bantamweight
Miles Johns,Bantamweight
Raul Rosas Jr.,Bantamweight
Terrence Mitchell,Bantamweight
Kleydson Rodrigues,Bantamweight
Caolan Loughran,Bantamweight
Aljamain Sterling,Bantamweight
Cody Gibson,Bantamweight
Da'Mon Blackshear,Bantamweight
JP Buys,Bantamweight
Davey Grant,Bantamweight
Ronnie Lawrence,Bantamweight
Kyung Ho Kang,Bantamweight
Luan Lacerda,Bantamweight
Daniel Santos,Bantamweight
John Castaneda,Bantamweight
Muin Gafurov,Bantamweight
Batgerel Danaa,Bantamweight
Brady Hiestand,Bantamweight
Montel Jackson,Bantamweight
Rani Yahya,Bantamweight
Aaron Phillips,Bantamweight
Cory Sandhagen,Bantamweight
Guido Cannetti,Bantamweight
Raphael Assuncao,Bantamweight
Said Nurmagomedov,Bantamweight
Tony Gravely,Bantamweight
Victor Henry,Bantamweight
Trevin Jones,Bantamweight
Mana Martinez,Bantamweight
Toshiomi Kazama,Bantamweight
Cody Stamann,Bantamweight
Saimon Oliveira,Bantamweight
Mateus Mendonca,Bantamweight
Saidyokub Kakhramonov,Bantamweight
Journey Newson,Bantamweight
Sergey Morozov,Bantamweight
Steven Koslow,Bantamweight
Jay Perrin,Bantamweight
Fernie Garcia,Bantamweight
Kevin Natividad,Bantamweight
Ricky Turcios,Bantamweight
Vince Morales,Bantamweight
Frankie Edgar,Bantamweight
Julio Arce,Bantamweight
Liudvik Sholinian,Bantamweight
Benito Lopez,Bantamweight
Joshua Weems,Bantamweight
TJ Dillashaw,Bantamweight
Cub Swanson,Bantamweight
Brandon Davis,Bantamweight
Randy Costa,Bantamweight
Khalid Taha,Bantamweight
Jose Aldo,Bantamweight
Dominick Cruz,Bantamweight
Youssef Zalal,Bantamweight
Jack Shore,Bantamweight
Douglas Silva de Andrade,Bantamweight
Nate Maness,Bantamweight
Raulian Paiva,Bantamweight
Tony Kelley,Bantamweight
Eddie Wineland,Bantamweight
Louis Smolka,Bantamweight
Cameron Else,Bantamweight
Kevin Croom,Bantamweight
Timur Valiev,Bantamweight
Kris Moutinho,Bantamweight
Marlon Moraes,Bantamweight
Jesse Strader,Bantamweight
Marcelo Rojo,Bantamweight
Zviad Lazishvili,Bantamweight
Danaa Batgerel,Bantamweight
Felipe Colares,Bantamweight
Alejandro Perez,Bantamweight
Johnny Eduardo,Bantamweight
Gaetano Pirrello,Bantamweight
Gustavo Lopez,Bantamweight
Domingo Pilarte,Bantamweight
Jamey Simmons,Bantamweight
Anderson Dos Santos,Bantamweight
Casey Kenney,Bantamweight
Drako Rodriguez,Bantamweight
Andre Ewell,Bantamweight
Matt Schnell,Bantamweight
Rogerio Bontorin,Bantamweight
Anthony Birchak,Bantamweight
Hunter Azure,Bantamweight
Thomas Almeida,Bantamweight
Ray Rodriguez,Bantamweight
Jimmie Rivera,Bantamweight
Vince Cachero,Bantamweight
Jose Quinonez,Bantamweight
Martin Day,Bantamweight
Geraldo de Freitas,Bantamweight
Victor Rodriguez,Bantamweight
Mark Striegl,Bantamweight
Ali AlQaisi,Bantamweight
Irwin Rivera,Bantamweight
Jerome Rivera,Bantamweight
Tyson Nam,Bantamweight
Cole Smith,Bantamweight
John Dodson,Bantamweight
Cody Durden,Bantamweight
Frankie Saenz,Bantamweight
Nathaniel Wood,Bantamweight
Brett Johns,Bantamweight
Amir Albazi,Bantamweight
Malcolm Gordon,Bantamweight
Jordan Espinosa,Bantamweight
Mark De La Rosa,Bantamweight
Zarrukh Adashev,Bantamweight
Ray Borg,Bantamweight
Enrique Barzola,Bantamweight
Gabriel Silva,Bantamweight
Ode Osbourne,Bantamweight
Ryan Benoit,Bantamweight
Pingyuan Liu,Bantamweight
Urijah Faber,Bantamweight
