FIGHTER,STANCE,EVER_CHAMPION,EVER_INTERIM,EVER_CHALLENGER,KD,TD,SUB.ATT,REV,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND,SIG,TOT.SIG,STR,TOTAL.STR,TOTAL.TD,TOTAL.HEAD,TOTAL.BODY,TOTAL.LEG,TOTAL.DISTANCE,TOTAL.CLINCH,TOTAL.GROUND,OPP_KD,OPP_TD,OPP_SUB.ATT,OPP_REV,OPP_CTRL,OPP_HEAD,OPP_BODY,OPP_LEG,OPP_DISTANCE,OPP_CLINCH,OPP_GROUND,OPP_SIG,OPP_TOT.SIG,OPP_STR,OPP_TOTAL.STR,OPP_TOTAL.TD,OPP_TOTAL.HEAD,OPP_TOTAL.BODY,OPP_TOTAL.LEG,OPP_TOTAL.DISTANCE,OPP_TOTAL.CLINCH,OPP_TOTAL.GROUND,TD_DEF,HEAD_DEF,BODY_DEF,LEG_DEF,DISTANCE_DEF,CLINCH_DEF,GROUND_DEF,SIG_DEF,STR_DEF,TD_%,HEAD_%,BODY_%,LEG_%,DISTANCE_%,CLINCH_%,GROUND_%,SIG_%,STR_%,TD_DEF_%,HEAD_DEF_%,BODY_DEF_%,LEG_DEF_%,DISTANCE_DEF_%,CLINCH_DEF_%,GROUND_DEF_%,SIG_DEF_%,STR_DEF_%
Asu Almabayev,,No,No,No,0.0,9.0,0.0,0.0,9.533333333333333,22.0,9.0,13.0,23.0,8.0,13.0,44.0,77.0,85.0,132.0,14.0,53.0,11.0,13.0,51.0,10.0,16.0,0.0,0.0,0.0,0.0,0.2333333333333333,13.0,14.0,2.0,22.0,4.0,3.0,29.0,53.0,66.0,92.0,0.0,32.0,17.0,4.0,46.0,4.0,3.0,0.0,19.0,3.0,2.0,24.0,0.0,0.0,24.0,26.0,0.6428571428571429,0.41509433962264153,0.8181818181818182,0.6923076923076923,0.45098039215686275,0.8,0.8125,0.5714285714285714,0.6439393939393939,,0.59375,0.17647058823529416,1.0,0.5217391304347826,0.0,0.0,0.4528301886792453,0.28260869565217395
CJ Vergara,Orthodox,No,No,No,0.0,0.0,1.0,1.0,10.75,203.0,149.0,52.0,285.0,35.0,84.0,404.0,700.0,579.0,895.0,0.0,448.0,193.0,59.0,531.0,46.0,123.0,2.0,16.0,5.0,2.0,20.2,222.0,91.0,49.0,314.0,24.0,24.0,362.0,762.0,438.0,858.0,40.0,588.0,121.0,53.0,699.0,32.0,31.0,24.0,366.0,30.0,4.0,385.0,8.0,7.0,400.0,420.0,,0.453125,0.772020725388601,0.0,0.536723163841808,0.7608695652173914,0.6829268292682927,0.5771428571428572,0.646927374301676,0.6,0.6224489795918368,0.2479338842975206,0.6981132075471699,0.5507868383404864,0.25,0.22580645161290325,0.5249343832020997,0.4895104895104895
Curtis Blaydes,Orthodox,No,No,No,2.0,62.0,0.0,0.0,80.25,395.0,69.0,110.0,260.0,73.0,241.0,574.0,1144.0,1016.0,1681.0,116.0,941.0,80.0,123.0,754.0,91.0,299.0,4.0,13.0,2.0,0.0,7.65,224.0,47.0,27.0,242.0,41.0,15.0,298.0,739.0,530.0,985.0,19.0,640.0,67.0,32.0,668.0,52.0,19.0,6.0,416.0,20.0,5.0,426.0,11.0,4.0,441.0,455.0,0.5344827586206896,0.4197662061636557,0.8625,0.5040650406504065,0.3448275862068966,0.8021978021978022,0.8060200668896321,0.5017482517482518,0.6044021415823915,0.3157894736842105,0.65,0.29850746268656714,0.59375,0.6377245508982036,0.21153846153846156,0.21052631578947367,0.5967523680649527,0.46192893401015234
Jailton Almeida,Orthodox,No,No,No,0.0,25.0,8.0,1.0,47.95,143.0,8.0,2.0,8.0,3.0,142.0,153.0,232.0,328.0,442.0,42.0,216.0,10.0,6.0,22.0,8.0,202.0,0.0,0.0,0.0,0.0,1.1,34.0,3.0,1.0,4.0,1.0,33.0,38.0,68.0,74.0,115.0,2.0,61.0,6.0,1.0,19.0,1.0,48.0,2.0,27.0,3.0,0.0,15.0,0.0,15.0,30.0,41.0,0.5952380952380952,0.6620370370370371,0.8,4.166666666666667,0.36363636363636365,0.375,0.7029702970297029,0.6594827586206896,0.7420814479638009,1.0,0.4426229508196722,0.5,1.0,0.7894736842105263,0.0,0.3125,0.4411764705882353,0.35652173913043483
Benoit Saint Denis,Southpaw,No,No,No,4.0,16.0,5.0,1.0,24.416666666666668,159.0,85.0,43.0,166.0,50.0,71.0,287.0,525.0,439.0,700.0,43.0,372.0,108.0,45.0,335.0,64.0,126.0,1.0,4.0,6.0,0.0,3.6666666666666665,159.0,67.0,25.0,193.0,50.0,8.0,251.0,439.0,299.0,497.0,13.0,336.0,76.0,27.0,360.0,71.0,8.0,9.0,177.0,9.0,2.0,167.0,21.0,0.0,188.0,198.0,0.37209302325581395,0.4274193548387097,0.7870370370370371,0.35555555555555557,0.4955223880597015,0.78125,0.5634920634920635,0.5466666666666666,0.6271428571428571,0.6923076923076923,0.5267857142857143,0.11842105263157898,0.8518518518518519,0.4638888888888889,0.295774647887324,0.0,0.428246013667426,0.39839034205231383
Dustin Poirier,Southpaw,No,Yes,Yes,14.0,28.0,24.0,4.0,69.4,1343.0,158.0,177.0,1262.0,254.0,162.0,1678.0,3284.0,2010.0,3654.0,77.0,2850.0,219.0,215.0,2644.0,387.0,253.0,3.0,29.0,28.0,3.0,58.8,864.0,293.0,184.0,1032.0,186.0,123.0,1341.0,2881.0,1780.0,3372.0,76.0,2257.0,404.0,220.0,2464.0,262.0,155.0,47.0,1393.0,111.0,36.0,1432.0,76.0,32.0,1540.0,1592.0,0.36363636363636365,0.4712280701754386,0.7214611872146118,0.13023255813953488,0.4773071104387292,0.6563307493540051,0.6403162055335968,0.5109622411693058,0.5500821018062397,0.618421052631579,0.6171909614532565,0.2747524752475248,0.8681818181818182,0.5811688311688312,0.29007633587786263,0.20645161290322578,0.5345366192294343,0.472123368920522
Gilbert Burns,Orthodox,No,No,Yes,4.0,40.0,9.0,0.0,67.06666666666666,526.0,187.0,169.0,661.0,83.0,138.0,882.0,1818.0,1275.0,2265.0,103.0,1361.0,243.0,214.0,1521.0,124.0,173.0,8.0,12.0,1.0,0.0,25.85,587.0,181.0,148.0,770.0,75.0,71.0,916.0,1997.0,1209.0,2324.0,24.0,1553.0,276.0,168.0,1795.0,101.0,101.0,12.0,966.0,95.0,20.0,1025.0,26.0,30.0,1081.0,1115.0,0.3883495145631068,0.38648052902277735,0.7695473251028807,0.18691588785046728,0.4345825115055884,0.6693548387096774,0.7976878612716763,0.48514851485148514,0.5629139072847682,0.5,0.6220218931101095,0.3442028985507246,0.9285714285714286,0.5710306406685237,0.25742574257425743,0.29702970297029707,0.5413119679519278,0.479776247848537
Jack Della Maddalena,Switch,No,No,No,6.0,1.0,1.0,0.0,2.4666666666666663,236.0,94.0,33.0,292.0,36.0,35.0,363.0,658.0,459.0,768.0,3.0,488.0,130.0,40.0,569.0,45.0,44.0,0.0,11.0,1.0,1.0,12.583333333333334,130.0,53.0,51.0,217.0,16.0,1.0,234.0,703.0,254.0,725.0,36.0,549.0,93.0,61.0,680.0,22.0,1.0,25.0,419.0,40.0,10.0,463.0,6.0,0.0,469.0,471.0,0.3333333333333333,0.48360655737704916,0.7230769230769231,0.025,0.5131810193321616,0.8,0.7954545454545454,0.5516717325227963,0.59765625,0.6944444444444444,0.7632058287795993,0.4301075268817204,0.819672131147541,0.6808823529411765,0.2727272727272727,0.0,0.6671408250355619,0.6496551724137931
Ion Cutelaba,Southpaw,No,No,No,2.0,34.0,0.0,0.0,28.066666666666666,414.0,90.0,40.0,297.0,117.0,130.0,544.0,1242.0,729.0,1462.0,59.0,1070.0,129.0,43.0,898.0,171.0,173.0,3.0,9.0,6.0,1.0,21.75,310.0,53.0,57.0,322.0,60.0,38.0,420.0,795.0,564.0,965.0,38.0,664.0,70.0,61.0,655.0,86.0,54.0,29.0,354.0,17.0,4.0,333.0,26.0,16.0,375.0,401.0,0.576271186440678,0.38691588785046727,0.6976744186046512,0.7906976744186046,0.3307349665924276,0.6842105263157895,0.7514450867052023,0.43800322061191627,0.49863201094391246,0.7631578947368421,0.5331325301204819,0.24285714285714288,0.8524590163934427,0.5083969465648854,0.3023255813953488,0.2962962962962963,0.4716981132075472,0.41554404145077717
Philipe Lins,Orthodox,No,No,No,1.0,7.0,0.0,0.0,19.583333333333332,141.0,55.0,45.0,202.0,30.0,9.0,241.0,491.0,284.0,536.0,21.0,358.0,79.0,54.0,438.0,41.0,12.0,1.0,0.0,0.0,0.0,2.766666666666666,94.0,68.0,66.0,179.0,47.0,2.0,228.0,426.0,404.0,607.0,5.0,266.0,83.0,77.0,361.0,63.0,2.0,5.0,172.0,15.0,11.0,182.0,16.0,0.0,198.0,203.0,0.3333333333333333,0.39385474860335196,0.6962025316455697,0.12962962962962962,0.4611872146118721,0.7317073170731707,0.75,0.4908350305498982,0.5298507462686567,1.0,0.6466165413533835,0.1807228915662651,1.0,0.5041551246537397,0.25396825396825395,0.0,0.46478873239436624,0.33443163097199347
