FIGHTER,STANCE,EVER_CHAMPION,EVER_INTERIM,EVER_CHALLENGER,Buyrate,Avg_Buyrate_Per_Event,PPV_Fights
Asu Almabayev,,No,No,No,0.0,,
CJ Vergara,Orthodox,No,No,No,1100000.0,550000.0,2.0
Curtis Blaydes,Orthodox,No,No,No,1385000.0,346250.0,4.0
Jailton Almeida,Orthodox,No,No,No,0.0,,
Benoit Saint Denis,Southpaw,No,No,No,0.0,,
Dustin Poirier,Southpaw,No,Yes,Yes,7212737.0,515195.5,14.0
Gilbert Burns,Orthodox,No,No,Yes,2364737.0,591184.25,4.0
Jack Della Maddalena,Switch,No,No,No,0.0,,
Ion Cutelaba,Southpaw,No,No,No,675000.0,675000.0,1.0
Philipe Lins,Orthodox,No,No,No,0.0,,
Joanne Wood,Orthodox,No,No,No,2675000.0,891666.6666666666,3.0
Maryna Moroz,Orthodox,No,No,No,0.0,,
Katlyn Cerminara,,No,No,No,0.0,,
Maycee Barber,Switch,No,No,No,1353429.0,1353429.0,1.0
Kevin Holland,Orthodox,No,No,No,300000.0,300000.0,1.0
Michael Page,,No,No,No,0.0,,
Mateusz Gamrot,Southpaw,No,No,No,0.0,,
Rafael Dos Anjos,Southpaw,Yes,No,Yes,4485000.0,448500.0,10.0
Michal Oleksiejczuk,Southpaw,No,No,No,380000.0,380000.0,1.0
Michel Pereira,Orthodox,No,No,No,1504737.0,1504737.0,1.0
Kyler Phillips,Orthodox,No,No,No,800000.0,800000.0,1.0
Pedro Munhoz,Orthodox,No,No,No,2050000.0,410000.0,5.0
Petr Yan,Switch,Yes,Yes,Yes,2800000.0,933333.3333333334,3.0
Song Yadong,Orthodox,No,No,No,800000.0,800000.0,1.0
Josh Parisian,Orthodox,No,No,No,0.0,,
Robelis Despaigne,,No,No,No,0.0,,
Marlon Vera,Switch,No,No,Yes,1690000.0,422500.0,4.0
Sean O'Malley,Switch,Yes,No,Yes,2849737.0,569947.4,5.0
Abdul-Kareem Al-Selwady,,No,No,No,0.0,,
Loik Radzhabov,Orthodox,No,No,No,0.0,,
Aiemann Zahabi,Orthodox,No,No,No,875000.0,875000.0,1.0
Javid Basharat,Orthodox,No,No,No,0.0,,
Alex Perez,Orthodox,No,No,Yes,385000.0,192500.0,2.0
Muhammad Mokaev,,No,No,No,0.0,,
Christian Leroy Duncan,,No,No,No,0.0,,
Claudio Ribeiro,,No,No,No,0.0,,
Eryk Anders,Southpaw,No,No,No,1500000.0,375000.0,4.0
Jamie Pickett,Orthodox,No,No,No,300000.0,300000.0,1.0
Jairzinho Rozenstruik,Orthodox,No,No,No,1200000.0,600000.0,2.0
Shamil Gaziev,,No,No,No,0.0,,
