FIGHTER,WEIGHTCLASS
Asu Almabayev,Flyweight
CJ Vergara,Flyweight
Alex Perez,Flyweight
Muhammad Mokaev,Flyweight
Matt Schnell,Flyweight
Steve Erceg,Flyweight
Brandon Moreno,Flyweight
Brandon Royval,Flyweight
Daniel Lacerda,Flyweight
Edgar Chairez,Flyweight
Jesus Aguilar,Flyweight
Mateus Mendonca,Flyweight
Denys Bondar,Flyweight
Ronaldo Rodriguez,Flyweight
Felipe dos Santos,Flyweight
Victor Altamirano,Flyweight
Azat Maksum,Flyweight
Charles Johnson,Flyweight
Jimmy Flick,Flyweight
Malcolm Gordon,Flyweight
Felipe Bunes,Flyweight
Joshua Van,Flyweight
Alexandre Pantoja,Flyweight
Cody Durden,Flyweight
Tagir Ulanbekov,Flyweight
HyunSung Park,Flyweight
Shannon Ross,Flyweight
Carlos Hernandez,Flyweight
Tatsuro Taira,Flyweight
Rafael Estevam,Flyweight
Kevin Borjas,Flyweight
Alessandro Costa,Flyweight
Nate Maness,Flyweight
Manel Kape,Flyweight
Jake Hadley,Flyweight
Assu Almabayev,Flyweight
Ode Osbourne,Flyweight
Vinicius Salvador,Flyweight
Daniel Barez,Flyweight
Jafel Filho,Flyweight
Tyson Nam,Flyweight
Zhalgas Zhumagulov,Flyweight
David Dvorak,Flyweight
Amir Albazi,Flyweight
Kai Kara-France,Flyweight
Tim Elliott,Flyweight
Matheus Nicolau,Flyweight
Bruno Silva,Flyweight
Clayton Carpenter,Flyweight
Juancamilo Ronderos,Flyweight
Kleydson Rodrigues,Flyweight
SeungGuk Choi,Flyweight
Deiveson Figueiredo,Flyweight
Allan Nascimento,Flyweight
Carlos Candelario,Flyweight
Carlos Mota,Flyweight
Francisco Figueiredo,Flyweight
Daniel Da Silva,Flyweight
Sumudaerji,Flyweight
JP Buys,Flyweight
Jeff Molina,Flyweight
Zarrukh Adashev,Flyweight
Askar Askarov,Flyweight
Rogerio Bontorin,Flyweight
Cody Garbrandt,Flyweight
Aoriqileng,Flyweight
Ryan Benoit,Flyweight
Jerome Rivera,Flyweight
Victor Rodriguez,Flyweight
Joseph Benavidez,Flyweight
Jordan Espinosa,Flyweight
Raulian Paiva,Flyweight
Jussier Formiga,Flyweight
Mark De La Rosa,Flyweight
Ray Borg,Flyweight
Sergio Pettis,Flyweight
Wilson Reis,Flyweight
Eric Shelton,Flyweight
Bibulatov Magomed,Flyweight
Henry Cejudo,Flyweight
TJ Dillashaw,Flyweight
Dustin Ortiz,Flyweight
Elias Garcia,Flyweight
Ben Nguyen,Flyweight
Yuta Sasaki,Flyweight
Joseph Morales,Flyweight
Jarred Brooks,Flyweight
Robert Sanchez,Flyweight
John Moraga,Flyweight
Jose Torres,Flyweight
Demetrious Johnson,Flyweight
Justin Scoggins,Flyweight
Said Nurmagomedov,Flyweight
Jenel Lausa,Flyweight
Naoki Inoue,Flyweight
Joby Sanchez,Flyweight
Louis Smolka,Flyweight
Ashkan Mokhtarian,Flyweight
Marco Beltran,Flyweight
Hector Sandoval,Flyweight
Neil Seery,Flyweight
Carls John De Tomas,Flyweight
Fredy Serrano,Flyweight
Zach Makovsky,Flyweight
Geane Herrera,Flyweight
Yao Zhikui,Flyweight
Ali Bagautinov,Flyweight
Kyoji Horiguchi,Flyweight
Willie Gates,Flyweight
Chris Kelades,Flyweight
Danny Martinez,Flyweight
Richie Vaculik,Flyweight
Jon Delos Reyes,Flyweight
Paddy Holohan,Flyweight
Chris Cariaso,Flyweight
Chico Camus,Flyweight
John Dodson,Flyweight
Chris Beal,Flyweight
Vaughan Lee,Flyweight
Darrell Montague,Flyweight
Josh Sampo,Flyweight
Nolan Ticman,Flyweight
Roldan Sangcha'an,Flyweight
Alptekin Ozkilic,Flyweight
Bentley Syler,Flyweight
Ian McCall,Flyweight
John Lineker,Flyweight
Shane Howell,Flyweight
Tateki Matsuda,Flyweight
Louis Gaudinot,Flyweight
Brad Pickett,Flyweight
Scott Jorgensen,Flyweight
Phil Harris,Flyweight
Will Campuzano,Flyweight
Darren Uyenoyama,Flyweight
Jose Maria,Flyweight
Iliarde Santos,Flyweight
Marcos Vinicius,Flyweight
Azamat Gashimov,Flyweight
Ulysses Gomez,Flyweight
Jared Papazian,Flyweight
Yasuhiro Urushitani,Flyweight
Josh Ferguson,Flyweight
