FIGHTER,STANCE,EVER_CHAMPION,EVER_INTERIM,EVER_CHALLENGER,HEIGHT,WEIGHT,REACH,APE_INDEX,FRAME,HEIGHT_DIFF,REACH_DIFF,AGE_DIFF,AI_DIFF,FRAME_DIFF,OPP_HEIGHT,OPP_WEIGHT,OPP_REACH,OPP_APE_INDEX,OPP_FRAME,OPP_REACH_DIFF,OPP_AGE_DIFF,OPP_AI_DIFF,OPP_FRAME_DIFF,HEIGHT_DELTA,REACH_DELTA,AGE_DELTA,AI_DELTA,FRAME_DELTA
Asu Almabayev,,No,No,No,,,,,,,,,,,66.0,135.0,68.0,1.0303030303030305,67.0,1.124835742444148,3.4320909665192687,0.0103754916770026,0.7736530880420531,,,,,
CJ Vergara,Orthodox,No,No,No,66.0,135.0,68.0,1.0303030303030305,67.0,0.4224704336399441,1.124835742444148,2.4320909665192687,0.0103754916770026,0.7736530880420531,66.5,125.0,70.0,1.0523518769787428,68.25,3.124835742444148,-2.8179090334807313,0.03242433835271485,2.023653088042053,-0.5,-2.0,4.75,-0.02204884667571215,-1.25
Curtis Blaydes,Orthodox,No,No,No,76.0,265.0,80.0,1.0526315789473684,78.0,1.1389625141991644,2.904202953426733,-3.6610105580693832,0.022707947055202,2.0215827338129486,74.88888888888889,245.77777777777777,78.22222222222223,1.0445716333150585,76.55555555555556,1.1264251756489552,1.561211664152839,0.01464800142289224,0.5771382893685042,1.1111111111111112,1.7777777777777777,-5.222222222222222,0.008059945632309839,1.4444444444444444
Jailton Almeida,Orthodox,No,No,No,75.0,205.0,79.0,1.0533333333333332,77.0,1.0668324597115142,2.927533765713323,-0.5329819590303018,0.024388112539294998,1.9971831127124184,75.14285714285714,239.57142857142858,77.28571428571429,1.0288854933591776,76.21428571428571,1.2132480514276085,3.609875183826841,-5.9727434860643025e-05,1.2114688269981326,-0.14285714285714285,1.7142857142857142,-4.142857142857143,0.02444783997415564,0.7857142857142857
Benoit Saint Denis,Southpaw,No,No,No,71.0,170.0,73.0,1.028169014084507,72.0,1.2031607122983334,1.4383616018141734,-2.6263199217434385,0.0027393602552379715,1.3207611570562474,69.85714285714286,157.85714285714286,71.42857142857143,1.0223988860700435,70.64285714285714,-0.13306696961439815,1.9451086496851329,-0.0030307677592255576,-0.036381700086609826,1.1428571428571428,1.5714285714285714,-4.571428571428571,0.005770128014463571,1.3571428571428572
Dustin Poirier,Southpaw,No,Yes,Yes,69.0,155.0,72.0,1.0434782608695652,70.5,-0.28042659141901016,1.0055956776603001,-1.7919212376501876,0.01854053288371973,0.36258454312064053,69.73333333333333,152.33333333333334,71.63333333333334,1.0274037466959822,70.68333333333334,0.6389290109936335,-0.22525457098352106,0.0024660187101368703,0.5459178764539738,-0.7333333333333333,0.36666666666666664,-1.5666666666666667,0.01607451417358285,-0.18333333333333332
Gilbert Burns,Orthodox,No,No,Yes,70.0,170.0,71.0,1.0142857142857142,70.5,-0.5162195946717144,-1.3554036498480118,2.757558531375828,-0.0118923036218176,-0.9358116222598664,70.81818181818181,164.0909090909091,72.72727272727273,1.0269404240405577,71.77272727272727,0.3718690774247154,1.8939221677394646,0.0007624061330257912,0.3369156504674064,-0.8181818181818182,-1.7272727272727273,0.8636363636363636,-0.012654709754843398,-1.2727272727272727
Jack Della Maddalena,Switch,No,No,No,71.0,170.0,73.0,1.028169014084507,72.0,-0.3284231670572524,-0.2515902243053176,-3.7767722473604834,0.0011460689918396,-0.290006695681285,72.0,172.14285714285714,75.16666666666667,1.043780689563894,73.58333333333333,1.915076442361349,2.3660848954966593,0.016757744471226466,1.2933266376520482,-1.0,-2.1666666666666665,-6.142857142857143,-0.015611675479386833,-1.5833333333333333
Ion Cutelaba,Southpaw,No,No,No,73.0,205.0,75.0,1.0273972602739727,74.0,-0.7964297974596661,-0.9866117404737338,-5.230109739368999,-0.0022536260532541,-0.8915207689667,74.375,207.8125,76.5625,1.0293627930567806,75.46875,0.5758882595262662,-0.10510973936899859,-0.00028809327044628115,0.5772292310333,-1.375,-1.5625,-5.125,-0.0019655327828079134,-1.46875
Philipe Lins,Orthodox,No,No,No,74.0,240.0,78.0,1.054054054054054,76.0,-0.15129902690672267,1.643659824159755,4.737367765508651,0.02431225253851387,0.7461803986265162,74.5,219.16666666666666,76.5,1.0268184622979144,75.5,0.1436598241597551,3.737367765508651,-0.0029233392176255656,0.24618039862651622,-0.5,1.5,1.0,0.027235591756139484,0.5
Joanne Wood,Orthodox,No,No,No,66.0,125.0,65.0,0.9848484848484849,65.5,0.9556846932321297,-0.6729522454142929,3.024784254150872,-0.024842903756052418,0.1413662239089224,65.58823529411765,123.82352941176471,66.3529411764706,1.0117260908618573,65.97058823529412,0.6799889310562953,-0.38698045173148093,0.0020347022573200826,0.6119544592030399,0.4117647058823529,-1.3529411764705883,3.411764705882353,-0.026877606013372447,-0.47058823529411764
Maryna Moroz,Orthodox,No,No,No,67.0,125.0,67.0,1.0,67.0,2.329861111111111,1.8238127240143385,-2.690337775972065,-0.00785557924414975,2.0768369175627264,64.5,120.83333333333333,65.25,1.0115942187021219,64.875,0.07381272401433848,-0.8570044426387314,0.003738639457972008,-0.04816308243727363,2.5,1.75,-1.8333333333333333,-0.011594218702121793,2.125
Katlyn Cerminara,,No,No,No,,,,,,,,,,,65.0,125.0,65.0,1.0,65.0,-1.382616487455195,-4.953612845673504,-0.0123139734050905,-0.9807347670250834,,,,,
