FIGHTER,WEIGHTCLASS
Curtis Blaydes,Heavyweight
Jailton Almeida,Heavyweight
Josh Parisian,Heavyweight
Robelis Despaigne,Heavyweight
Jairzinho Rozenstruik,Heavyweight
Shamil Gaziev,Heavyweight
Junior Tafa,Heavyweight
Marcos Rogerio de Lima,Heavyweight
Jamal Pogues,Heavyweight
Thomas Petersen,Heavyweight
Andrei Arlovski,Heavyweight
Waldo Cortes-Acosta,Heavyweight
Martin Buday,Heavyweight
Caio Machado,Heavyweight
Mick Parkin,Heavyweight
Sergei Pavlovich,Heavyweight
Tom Aspinall,Heavyweight
Derrick Lewis,Heavyweight
Don'Tale Mayes,Heavyweight
Rodrigo Nascimento,Heavyweight
Jake Collier,Heavyweight
Mohammed Usman,Heavyweight
Austen Lane,Heavyweight
Justin Tafa,Heavyweight
Alexander Volkov,Heavyweight
Tai Tuivasa,Heavyweight
Ciryl Gane,Heavyweight
Serghei Spivac,Heavyweight
Marcin Tybura,Heavyweight
Alexandr Romanov,Heavyweight
Blagoy Ivanov,Heavyweight
Ilir Latifi,Heavyweight
Chase Sherman,Heavyweight
Karl Williams,Heavyweight
Braxton Smith,Heavyweight
Parker Porter,Heavyweight
Lukasz Brzeski,Heavyweight
Jon Jones,Heavyweight
Augusto Sakai,Heavyweight
Shamil Abdurakhimov,Heavyweight
Chris Daukaus,Heavyweight
Jared Vanderaa,Heavyweight
Aleksei Oleinik,Heavyweight
Tanner Boser,Heavyweight
Chris Barnett,Heavyweight
Zac Pauga,Heavyweight
Hamdy Abdelwahab,Heavyweight
Alan Baudot,Heavyweight
Devin Clark,Heavyweight
William Knight,Heavyweight
Greg Hardy,Heavyweight
Maxim Grishin,Heavyweight
Francis Ngannou,Heavyweight
Harry Hunsucker,Heavyweight
Ben Rothwell,Heavyweight
Gian Villante,Heavyweight
Carlos Felipe,Heavyweight
Ovince Saint Preux,Heavyweight
Roque Martinez,Heavyweight
Walt Harris,Heavyweight
Maurice Greene,Heavyweight
Juan Espino,Heavyweight
Jarjis Danho,Heavyweight
Yorgan De Castro,Heavyweight
Stipe Miocic,Heavyweight
Alistair Overeem,Heavyweight
Junior Dos Santos,Heavyweight
Stefan Struve,Heavyweight
Jeff Hughes,Heavyweight
Daniel Cormier,Heavyweight
Alexander Gustafsson,Heavyweight
Fabricio Werdum,Heavyweight
Raphael Pessoa,Heavyweight
Philipe Lins,Heavyweight
Ike Villanueva,Heavyweight
Ben Sosoli,Heavyweight
Juan Adams,Heavyweight
Daniel Spitz,Heavyweight
Todd Duffee,Heavyweight
Junior Albini,Heavyweight
Allen Crowder,Heavyweight
Arjan Bhullar,Heavyweight
Dmitrii Smoliakov,Heavyweight
Marcelo Golm,Heavyweight
Justin Willis,Heavyweight
Cain Velasquez,Heavyweight
Chris de la Rocha,Heavyweight
Mark Hunt,Heavyweight
Justin Frazier,Heavyweight
Michel Batista,Heavyweight
Adam Wieczorek,Heavyweight
Rashad Coulter,Heavyweight
Dmitry Sosnovskiy,Heavyweight
Mark Godbeer,Heavyweight
Cyril Asker,Heavyweight
Timothy Johnson,Heavyweight
Hu Yaozong,Heavyweight
Anthony Hamilton,Heavyweight
Christian Colombo,Heavyweight
Azunna Anyanwu,Heavyweight
Justin Ledet,Heavyweight
Luis Henrique,Heavyweight
Damian Grabowski,Heavyweight
James Mulheron,Heavyweight
Daniel Omielanczuk,Heavyweight
Travis Browne,Heavyweight
Roy Nelson,Heavyweight
Adam Milstead,Heavyweight
Marcel Fortuna,Heavyweight
Viktor Pesta,Heavyweight
Cody East,Heavyweight
Antonio Silva,Heavyweight
Josh Barnett,Heavyweight
Bojan Mihajlovic,Heavyweight
Brock Lesnar,Heavyweight
Gabriel Gonzaga,Heavyweight
Jared Cannonier,Heavyweight
Frank Mir,Heavyweight
Jared Rosholt,Heavyweight
Matt Mitrione,Heavyweight
Konstantin Erokhin,Heavyweight
Ruslan Magomedov,Heavyweight
Shawn Jordan,Heavyweight
Soa Palelei,Heavyweight
Antonio Rodrigo Nogueira,Heavyweight
Mirko Filipovic,Heavyweight
Josh Copeland,Heavyweight
Ruan Potts,Heavyweight
Brendan Schaub,Heavyweight
Jack May,Heavyweight
Guto Inocente,Heavyweight
