FIGHTER,WEIGHTCLASS
Ion Cutelaba,Light Heavyweight
Philipe Lins,Light Heavyweight
Tyson Pedro,Light Heavyweight
Vitor Petrino,Light Heavyweight
Brendson Ribeiro,Light Heavyweight
Zhang Mingyang,Light Heavyweight
Devin Clark,Light Heavyweight
Marcin Prachnio,Light Heavyweight
Bogdan Guskov,Light Heavyweight
Zac Pauga,Light Heavyweight
Johnny Walker,Light Heavyweight
Magomed Ankalaev,Light Heavyweight
Alonzo Menifield,Light Heavyweight
Dustin Jacoby,Light Heavyweight
Anthony Smith,Light Heavyweight
Khalil Rountree Jr.,Light Heavyweight
Ihor Potieria,Light Heavyweight
Rodolfo Bellato,Light Heavyweight
Alex Pereira,Light Heavyweight
Jiri Prochazka,Light Heavyweight
Modestas Bukauskas,Light Heavyweight
Carlos Ulberg,Light Heavyweight
Da Woon Jung,Light Heavyweight
Anton Turkalj,Light Heavyweight
Volkan Oezdemir,Light Heavyweight
Chris Daukaus,Light Heavyweight
Kennedy Nzechukwu,Light Heavyweight
Aleksa Camur,Light Heavyweight
Tanner Boser,Light Heavyweight
Jan Blachowicz,Light Heavyweight
Jimmy Crute,Light Heavyweight
Maxim Grishin,Light Heavyweight
Azamat Murzakanov,Light Heavyweight
Ed Herman,Light Heavyweight
Zak Cummings,Light Heavyweight
Jordan Wright,Light Heavyweight
Ovince Saint Preux,Light Heavyweight
William Knight,Light Heavyweight
Glover Teixeira,Light Heavyweight
Jamahal Hill,Light Heavyweight
Mauricio Rua,Light Heavyweight
Paul Craig,Light Heavyweight
Nassourdine Imavov,Light Heavyweight
Sean Strickland,Light Heavyweight
Nicolae Negumereanu,Light Heavyweight
Dominick Reyes,Light Heavyweight
Ryan Spann,Light Heavyweight
Nikita Krylov,Light Heavyweight
Misha Cirkunov,Light Heavyweight
Harry Hunsucker,Light Heavyweight
Thiago Santos,Light Heavyweight
Alexander Gustafsson,Light Heavyweight
Karl Roberson,Light Heavyweight
Tafon Nchukwi,Light Heavyweight
Askar Mozharov,Light Heavyweight
Aleksandar Rakic,Light Heavyweight
Ike Villanueva,Light Heavyweight
Michal Oleksiejczuk,Light Heavyweight
Fabio Cherant,Light Heavyweight
Danilo Marques,Light Heavyweight
Jailton Almeida,Light Heavyweight
Brendan Allen,Light Heavyweight
Sam Alvey,Light Heavyweight
Da-Un Jung,Light Heavyweight
John Allan,Light Heavyweight
Shamil Gamzatov,Light Heavyweight
Marvin Vettori,Light Heavyweight
Paulo Costa,Light Heavyweight
Mike Rodriguez,Light Heavyweight
Darren Stewart,Light Heavyweight
Eryk Anders,Light Heavyweight
Israel Adesanya,Light Heavyweight
Vinicius Moreira,Light Heavyweight
Roman Dolidze,Light Heavyweight
Justin Ledet,Light Heavyweight
Gadzhimurad Antigulov,Light Heavyweight
Khadis Ibragimov,Light Heavyweight
Rogerio Nogueira,Light Heavyweight
Andreas Michailidis,Light Heavyweight
Klidson Abreu,Light Heavyweight
Corey Anderson,Light Heavyweight
Dequan Townsend,Light Heavyweight
Jon Jones,Light Heavyweight
Darko Stosic,Light Heavyweight
Jacare Souza,Light Heavyweight
Dalcha Lungiambula,Light Heavyweight
Chris Weidman,Light Heavyweight
Ilir Latifi,Light Heavyweight
Luke Rockhold,Light Heavyweight
Jimi Manuwa,Light Heavyweight
Patrick Cummins,Light Heavyweight
Saparbeg Safarov,Light Heavyweight
Gian Villante,Light Heavyweight
Adam Milstead,Light Heavyweight
Hu Yaozong,Light Heavyweight
Rashad Coulter,Light Heavyweight
Luis Henrique,Light Heavyweight
