FIGHTER,WEIGHTCLASS
Benoit Saint Denis,Lightweight
Dustin Poirier,Lightweight
Mateusz Gamrot,Lightweight
Rafael Dos Anjos,Lightweight
Abdul-Kareem Al-Selwady,Lightweight
Loik Radzhabov,Lightweight
AJ Cunningham,Lightweight
Ludovit Klein,Lightweight
Claudio Puelles,Lightweight
Fares Ziam,Lightweight
Daniel Zellhuber,Lightweight
Francisco Prado,Lightweight
Chris Duncan,Lightweight
Manuel Torres,Lightweight
Bolaji Oki,Lightweight
Timmy Cuamba,Lightweight
Darrius Flowers,Lightweight
Michael Johnson,Lightweight
Landon Quinones,Lightweight
MarQuel Mederos,Lightweight
Drew Dober,Lightweight
Renato Moicano,Lightweight
Gabriel Benitez,Lightweight
Jim Miller,Lightweight
Nikolas Motta,Lightweight
Tom Nolan,Lightweight
Paddy Pimblett,Lightweight
Tony Ferguson,Lightweight
Jamie Mullarkey,Lightweight
Nasrat Haqparast,Lightweight
Melquizael Costa,Lightweight
Steve Garcia,Lightweight
Arman Tsarukyan,Lightweight
Beneil Dariush,Lightweight
Clay Guida,Lightweight
Joaquim Silva,Lightweight
Drakkar Klose,Lightweight
Joe Solecki,Lightweight
Bobby Green,Lightweight
Jalin Turner,Lightweight
Chase Hooper,Lightweight
Jordan Leavitt,Lightweight
Trey Ogden,Lightweight
Jared Gordon,Lightweight
Mark Madsen,Lightweight
Mateusz Rebecki,Lightweight
Roosevelt Roberts,Lightweight
Matt Frevola,Lightweight
Nazim Sadykhov,Lightweight
Viacheslav Borshchev,Lightweight
Kaue Fernandes,Lightweight
Marc Diakiese,Lightweight
Brendon Marotte,Lightweight
Terrance McKinney,Lightweight
Ricky Glenn,Lightweight
Grant Dawson,Lightweight
Rafael Fiziev,Lightweight
Alex Reyes,Lightweight
Charlie Campbell,Lightweight
Christos Giagos,Lightweight
John Makdessi,Lightweight
Thiago Moises,Lightweight
Austin Hubbard,Lightweight
Kurt Holobaugh,Lightweight
Mike Breeden,Lightweight
Ignacio Bahamondes,Lightweight
Justin Gaethje,Lightweight
Yanal Ashmouz,Lightweight
Jai Herbert,Lightweight
Joel Alvarez,Lightweight
Alexander Munoz,Lightweight
Carl Deaton,Lightweight
Evan Elder,Lightweight
Genaro Valdez,Lightweight
Ottman Azaitar,Lightweight
Dan Hooker,Lightweight
Esteban Ribovics,Lightweight
Kamuela Kirk,Lightweight
Damir Ismagulov,Lightweight
Elves Brener,Lightweight
Guram Kutateladze,Lightweight
Ismael Bonfim,Lightweight
Chepe Mariscal,Lightweight
Trevor Peek,Lightweight
Charles Oliveira,Lightweight
Muhammad Naimov,Lightweight
Jesse Butler,Lightweight
Nick Fiore,Lightweight
Diego Ferreira,Lightweight
Maheshate,Lightweight
Rafa Garcia,Lightweight
Lando Vannata,Lightweight
Omar Morales,Lightweight
Sam Patterson,Lightweight
Erick Gonzalez,Lightweight
Victor Martinez,Lightweight
Nurullo Aliev,Lightweight
Rafael Alves,Lightweight
Alexander Hernandez,Lightweight
Alexander Volkanovski,Lightweight
Islam Makhachev,Lightweight
Zubaira Tukhugov,Lightweight
Anshul Jubli,Lightweight
Jeka Saragih,Lightweight
Scott Holtzman,Lightweight
Natan Levy,Lightweight
Brad Riddell,Lightweight
Michael Chandler,Lightweight
Jesse Ronson,Lightweight
Mike Davis,Lightweight
Cameron VanCamp,Lightweight
Gabriel Miranda,Lightweight
Michal Figlak,Lightweight
Leonardo Santos,Lightweight
Charlie Ontiveros,Lightweight
Kyle Nelson,Lightweight
Damir Hadzovic,Lightweight
Mason Jones,Lightweight
Alex Da Silva,Lightweight
Niklas Stolze,Lightweight
Uros Medic,Lightweight
Frank Camacho,Lightweight
Alan Patrick,Lightweight
Brandon Jenkins,Lightweight
Vinc Pichel,Lightweight
Ilia Topuria,Lightweight
Kazula Vargas,Lightweight
Devonte Smith,Lightweight
Rong Zhu,Lightweight
Dakota Bush,Lightweight
Charles Rosa,Lightweight
TJ Brown,Lightweight
Matt Sayles,Lightweight
Chris Gruetzemacher,Lightweight
Al Iaquinta,Lightweight
Khama Worthy,Lightweight
David Onama,Lightweight
Luigi Vendramini,Lightweight
Jeremy Stephens,Lightweight
Conor McGregor,Lightweight
Yancy Medeiros,Lightweight
Sean Soriano,Lightweight
Gregor Gillespie,Lightweight
Luis Pena,Lightweight
Aalon Cruz,Lightweight
Justin Jaynes,Lightweight
Matt Wiman,Lightweight
Paul Felder,Lightweight
Alexander Yakovlev,Lightweight
Khabib Nurmagomedov,Lightweight
Jessin Ayari,Lightweight
Kevin Croom,Lightweight
Francisco Trinaldo,Lightweight
Davi Ramos,Lightweight
Joe Duffy,Lightweight
Roman Bogatov,Lightweight
Max Rohskopf,Lightweight
Kevin Aguilar,Lightweight
Brok Weaver,Lightweight
Kevin Lee,Lightweight
Magomed Mustafaev,Lightweight
Josh Culibao,Lightweight
Anthony Pettis,Lightweight
Dong Hyun Ma,Lightweight
Alex White,Lightweight
Stevie Ray,Lightweight
Joe Lauzon,Lightweight
Jonathan Pearce,Lightweight
Thomas Gifford,Lightweight
Danilo Belluardo,Lightweight
Marcos Mariano,Lightweight
Donald Cerrone,Lightweight
Kyle Prepolec,Lightweight
Don Madge,Lightweight
Edson Barboza,Lightweight
Mairbek Taisumov,Lightweight
Teemu Packalen,Lightweight
Olivier Aubin-Mercier,Lightweight
James Vick,Lightweight
Marco Polo Reyes,Lightweight
Dan Moret,Lightweight
Nick Hein,Lightweight
Nik Lentz,Lightweight
Charles Jourdain,Lightweight
Desmond Green,Lightweight
BJ Penn,Lightweight
Gilbert Burns,Lightweight
Jason Gonzalez,Lightweight
Max Holloway,Lightweight
Ross Pearson,Lightweight
Jesus Pinedo,Lightweight
Rustam Khabilov,Lightweight
Callan Potter,Lightweight
David Teymur,Lightweight
Dennis Bermudez,Lightweight
Te Edwards,Lightweight
Ryan Hall,Lightweight
Alex Gorgees,Lightweight
Mizuto Hirota,Lightweight
Darrell Horcher,Lightweight
Devin Powell,Lightweight
John Gunther,Lightweight
Julian Erosa,Lightweight
Michael Trizano,Lightweight
Thibault Gouti,Lightweight
Gray Maynard,Lightweight
Evan Dunham,Lightweight
Kajan Johnson,Lightweight
Jon Tuck,Lightweight
Alvaro Herrera Mendoza,Lightweight
Eddie Alvarez,Lightweight
Michael Chiesa,Lightweight
Allan Zuniga,Lightweight
Richie Smullen,Lightweight
Joe Giannetti,Lightweight
Gleison Tibau,Lightweight
Felipe Silva,Lightweight
Sage Northcutt,Lightweight
Damien Brown,Lightweight
Michel Prazeres,Lightweight
Erik Koch,Lightweight
Jordan Rinaldi,Lightweight
James Krause,Lightweight
Abel Trujillo,Lightweight
Will Brooks,Lightweight
Michel Quinones,Lightweight
Hacran Dias,Lightweight
Marcin Held,Lightweight
Takanori Gomi,Lightweight
Anthony Rocco Martin,Lightweight
Jason Saggo,Lightweight
Adriano Martins,Lightweight
Mitch Clarke,Lightweight
Mads Burnell,Lightweight
Andrew Holbrook,Lightweight
Joshua Burkman,Lightweight
Chris Wade,Lightweight
Frankie Perez,Lightweight
Daniel Teymur,Lightweight
Danny Henry,Lightweight
Johnny Case,Lightweight
Reza Madadi,Lightweight
Diego Sanchez,Lightweight
Michael McBride,Lightweight
Rashid Magomedov,Lightweight
Josh Emmett,Lightweight
Alex Ricci,Lightweight
JC Cottrell,Lightweight
Brendan O'Reilly,Lightweight
Jake Matthews,Lightweight
Yusuke Kasuya,Lightweight
Jason Novelli,Lightweight
Martin Bravo,Lightweight
Lukasz Sajewski,Lightweight
Alex Oliveira,Lightweight
Glaico Franca Moreira,Lightweight
Tae Hyun Bang,Lightweight
Leandro Silva,Lightweight
Chad Laprise,Lightweight
Jeremy Kennedy,Lightweight
Shane Campbell,Lightweight
Cesar Arzamendia,Lightweight
Gilbert Melendez,Lightweight
Cody Pfister,Lightweight
Enrique Marin,Lightweight
Mehdi Baghdad,Lightweight
Yan Cabral,Lightweight
Efrain Escudero,Lightweight
Justin Salas,Lightweight
Martin Svensson,Lightweight
Norman Parke,Lightweight
KJ Noons,Lightweight
Felipe Olivieri,Lightweight
Daron Cruickshank,Lightweight
Tony Sims,Lightweight
Nate Diaz,Lightweight
Danny Castillo,Lightweight
Joe Proctor,Lightweight
Artem Lobov,Lightweight
Abner Lloveras,Lightweight
Marcin Wrzosek,Lightweight
Leo Kuntz,Lightweight
Enrique Barzola,Lightweight
Horacio Gutierrez,Lightweight
Valmir Lazaro,Lightweight
Akbarh Arreola,Lightweight
Piotr Hallmann,Lightweight
Mickael Lebout,Lightweight
Francisco Trevino,Lightweight
Naoyuki Kotani,Lightweight
Nazareno Malegarie,Lightweight
Sam Stout,Lightweight
Elias Silverio,Lightweight
Anthony Christodoulou,Lightweight
Fernando Bruno,Lightweight
Ramsey Nijem,Lightweight
Ivan Jorge,Lightweight
Leonardo Mafra,Lightweight
Josh Thomson,Lightweight
James Moontasri,Lightweight
Yosdenis Cedeno,Lightweight
Justin Edwards,Lightweight
Zhang Lipeng,Lightweight
Bryan Barberena,Lightweight
David Michaud,Lightweight
Marcin Bandel,Lightweight
Jorge Masvidal,Lightweight
Jorge de Oliveira,Lightweight
Cain Carrizosa,Lightweight
Jake Lindsey,Lightweight
Josh Shockley,Lightweight
Rodrigo de Lima,Lightweight
Benson Henderson,Lightweight
Myles Jury,Lightweight
Rodrigo Damm,Lightweight
Garett Whiteley,Lightweight
Jamie Varner,Lightweight
Joe Ellenberger,Lightweight
Isaac Vallie-Flagg,Lightweight
Yves Edwards,Lightweight
Charlie Brenneman,Lightweight
Vagner Rocha,Lightweight
Fabricio Camoes,Lightweight
Anthony Njokuani,Lightweight
Kazuki Tokudome,Lightweight
Damon Jackson,Lightweight
Tiago dos Santos e Silva,Lightweight
Pat Healy,Lightweight
Jerrod Sanders,Lightweight
Juan Manuel Puig,Lightweight
Colton Smith,Lightweight
Dashon Johnson,Lightweight
Jason High,Lightweight
Ernest Chavez,Lightweight
Katsunori Kikuno,Lightweight
Ben Wall,Lightweight
Mark Bocek,Lightweight
Mike de la Torre,Lightweight
Renee Forte,Lightweight
Melvin Guillard,Lightweight
Yui Chul Nam,Lightweight
Rafaello Oliveira,Lightweight
Cristiano Marcello,Lightweight
Mike Rio,Lightweight
Quinn Mulhern,Lightweight
Roger Bowling,Lightweight
Mac Danzig,Lightweight
Cody McKenzie,Lightweight
Thiago Tavares,Lightweight
George Sotiropoulos,Lightweight
Mike Ricci,Lightweight
Ryan Couture,Lightweight
Aaron Riley,Lightweight
Tim Means,Lightweight
John Maguire,Lightweight
TJ Grant,Lightweight
John Cholish,Lightweight
Jeremy Larsen,Lightweight
Lucas Martins,Lightweight
Colin Fletcher,Lightweight
Anton Kuivanen,Lightweight
Caros Fodor,Lightweight
Paul Sass,Lightweight
Terry Etim,Lightweight
Jacob Volkmann,Lightweight
CJ Keith,Lightweight
John Cofer,Lightweight
Brendan Loughnane,Lightweight
Mike Wilkinson,Lightweight
Henry Martinez,Lightweight
Marcus LeVesseur,Lightweight
Zhang Tiequan,Lightweight
Shane Roller,Lightweight
Carlo Prater,Lightweight
Frankie Edgar,Lightweight
John Alessio,Lightweight
Yoislandy Izquierdo,Lightweight
Spencer Fisher,Lightweight
Bernardo Magalhaes,Lightweight
Sam Sicilia,Lightweight
Chris Tickle,Lightweight
Justin Lawrence,Lightweight
Chris Saunders,Lightweight
Kamal Shalorus,Lightweight
Eiji Mitsuoka,Lightweight
Tommy Hayden,Lightweight
Dennis Hallman,Lightweight
Shamar Bailey,Lightweight
Edward Faaloloto,Lightweight
Dennis Siver,Lightweight
Danny Downes,Lightweight
Cole Miller,Lightweight
TJ O'Brien,Lightweight
Andre Winner,Lightweight
Curt Warburton,Lightweight
Kyle Watson,Lightweight
Waylon Lowe,Lightweight
Kurt Pellegrino,Lightweight
Joe Stevenson,Lightweight
Maciej Jewtuszko,Lightweight
Paul Kelly,Lightweight
Gabe Ruediger,Lightweight
Paul Taylor,Lightweight
Willamy Freire,Lightweight
Antonio McKee,Lightweight
Marcus Davis,Lightweight
Dustin Hazelett,Lightweight
Pat Audinwood,Lightweight
Aaron Wilkinson,Lightweight
Jonathan Brookins,Lightweight
Sako Chivitchian,Lightweight
Mike Lullo,Lightweight
Tyson Griffin,Lightweight
Mark Holst,Lightweight
Sean Sherk,Lightweight
Steve Lopez,Lightweight
John Gunderson,Lightweight
Kenny Florian,Lightweight
Darren Elkins,Lightweight
Joe Brammer,Lightweight
Dan Lauzon,Lightweight
Matt Veach,Lightweight
Caol Uno,Lightweight
Ronys Torres,Lightweight
Rob Emerson,Lightweight
Shannon Gugerty,Lightweight
Duane Ludwig,Lightweight
Justin Buchholz,Lightweight
Phillipe Nover,Lightweight
Kyle Bradley,Lightweight
Shane Nelson,Lightweight
Jason Dent,Lightweight
Rolando Delgado,Lightweight
Josh Neer,Lightweight
Hermes Franca,Lightweight
Roger Huerta,Lightweight
Marcus Aurelio,Lightweight
George Roop,Lightweight
Matt Grice,Lightweight
Cameron Dollar,Lightweight
Dale Hartt,Lightweight
David Kaplan,Lightweight
David Bielkheden,Lightweight
Junie Browning,Lightweight
Per Eklund,Lightweight
Brian Cobb,Lightweight
Rich Clementi,Lightweight
Manvel Gamburyan,Lightweight
Nate Mohr,Lightweight
John Polakowski,Lightweight
Corey Hill,Lightweight
Jorge Gurgel,Lightweight
Alvin Robinson,Lightweight
Jess Liaudin,Lightweight
David Baron,Lightweight
Samy Schiavo,Lightweight
Din Thomas,Lightweight
Jeff Cox,Lightweight
Ryan Roberts,Lightweight
John Halverson,Lightweight
Keita Nakamura,Lightweight
Joe Veres,Lightweight
Alberto Crane,Lightweight
Michihiro Omigawa,Lightweight
Doug Evans,Lightweight
Jason Reinhardt,Lightweight
Luke Caudillo,Lightweight
Jason Black,Lightweight
Diego Saraiva,Lightweight
Leonard Garcia,Lightweight
Junior Assuncao,Lightweight
Jens Pulver,Lightweight
Andy Wang,Lightweight
Brandon Melendez,Lightweight
Allen Berube,Lightweight
Brian Geraghty,Lightweight
David Lee,Lightweight
Dokonjonosuke Mishima,Lightweight
Jason Gilliam,Lightweight
Justin James,Lightweight
Danny Abbadi,Lightweight
Mark Hominick,Lightweight
Rick Davis,Lightweight
Ivan Menjivar,Lightweight
Matt Serra,Lightweight
Genki Sudo,Lightweight
Mike Brown,Lightweight
Jeff Curran,Lightweight
Nick Agallar,Lightweight
Gerald Strebendt,Lightweight
Eddie Ruiz,Lightweight
Richard Crunkilton,Lightweight
Leigh Remedios,Lightweight
Joao Pierini,Lightweight
Paul Creighton,Lightweight
Kelly Dullanty,Lightweight
Fabiano Iha,Lightweight
Joey Gilbert,Lightweight
John Lewis,Lightweight
Joao Roque,Lightweight
