FIGHTER,WEIGHTCLASS
Michal Oleksiejczuk,Middleweight
Michel Pereira,Middleweight
Christian Leroy Duncan,Middleweight
Claudio Ribeiro,Middleweight
Eryk Anders,Middleweight
Jamie Pickett,Middleweight
Anthony Hernandez,Middleweight
Roman Kopylov,Middleweight
Paulo Costa,Middleweight
Robert Whittaker,Middleweight
Brad Tavares,Middleweight
Gregory Rodrigues,Middleweight
Jack Hermansson,Middleweight
Joe Pyfer,Middleweight
Ihor Potieria,Middleweight
Robert Bryczek,Middleweight
Armen Petrosyan,Middleweight
Rodolfo Vieira,Middleweight
Aliaskhab Khizriev,Middleweight
Makhmud Muradov,Middleweight
Nassourdine Imavov,Middleweight
Roman Dolidze,Middleweight
Chris Curtis,Middleweight
Marc-Andre Barriault,Middleweight
Dricus Du Plessis,Middleweight
Sean Strickland,Middleweight
Brunno Ferreira,Middleweight
Phil Hawes,Middleweight
Andre Muniz,Middleweight
JunYong Park,Middleweight
Dustin Stoltzfus,Middleweight
Punahele Soriano,Middleweight
Cody Brundage,Middleweight
Zach Reese,Middleweight
Brendan Allen,Middleweight
Paul Craig,Middleweight
Denis Tiuliulin,Middleweight
Abus Magomedov,Middleweight
Caio Borralho,Middleweight
Andre Petroski,Middleweight
Abdul Razak Alhassan,Middleweight
Jacob Malkoun,Middleweight
Josh Fremd,Middleweight
Israel Adesanya,Middleweight
Gerald Meerschaert,Middleweight
Chris Weidman,Middleweight
AJ Dobson,Middleweight
Tafon Nchukwi,Middleweight
Bryan Barberena,Middleweight
Albert Duraev,Middleweight
Bo Nickal,Middleweight
Val Woodburn,Middleweight
Nursulton Ruziboev,Middleweight
Sedriques Dumas,Middleweight
Jared Cannonier,Middleweight
Marvin Vettori,Middleweight
Edmen Shahbazyan,Middleweight
Joseph Holmes,Middleweight
Ikram Aliskerov,Middleweight
Alex Pereira,Middleweight
Kelvin Gastelum,Middleweight
Chidi Njokuani,Middleweight
Christian Duncan,Middleweight
Dusko Todorovic,Middleweight
Derek Brunson,Middleweight
Julian Marquez,Middleweight
Joaquin Buckley,Middleweight
Darren Till,Middleweight
Dalcha Lungiambula,Middleweight
Kyle Daukaus,Middleweight
Wellington Turman,Middleweight
Junyong Park,Middleweight
Tresean Gore,Middleweight
Jordan Wright,Middleweight
Nick Maximov,Middleweight
Krzysztof Jotko,Middleweight
Alen Amedovski,Middleweight
Alessio Di Chirico,Middleweight
Luke Rockhold,Middleweight
Bruno Silva,Middleweight
Sam Alvey,Middleweight
Dwight Grant,Middleweight
Uriah Hall,Middleweight
Deron Winn,Middleweight
Gadzhi Omargadzhiev,Middleweight
Misha Cirkunov,Middleweight
Bryan Battle,Middleweight
Maki Pitolo,Middleweight
Andreas Michailidis,Middleweight
Hu Yaozong,Middleweight
Laureano Staropoli,Middleweight
Andrew Sanchez,Middleweight
Kevin Holland,Middleweight
Nick Diaz,Middleweight
Robbie Lawler,Middleweight
Antonio Arroyo,Middleweight
Micheal Gillmore,Middleweight
Gilbert Urbina,Middleweight
Ian Heinisch,Middleweight
Omari Akhmedov,Middleweight
Trevin Giles,Middleweight
Jacare Souza,Middleweight
KB Bhullar,Middleweight
Karl Roberson,Middleweight
Bartosz Fabinski,Middleweight
Abu Azaitar,Middleweight
Darren Stewart,Middleweight
Antonio Carlos Junior,Middleweight
Markus Perez,Middleweight
Tom Breese,Middleweight
Bevon Lewis,Middleweight
Charlie Ontiveros,Middleweight
Jack Marshman,Middleweight
Anderson Silva,Middleweight
John Phillips,Middleweight
Impa Kasanganay,Middleweight
Dequan Townsend,Middleweight
Jordan Williams,Middleweight
Khamzat Chimaev,Middleweight
Zak Cummings,Middleweight
Oskar Piechota,Middleweight
Charles Byrd,Middleweight
Yoel Romero,Middleweight
Saparbeg Safarov,Middleweight
James Krause,Middleweight
Trevor Smith,Middleweight
Cezar Ferreira,Middleweight
Eric Spicely,Middleweight
Elias Theodorou,Middleweight
David Branch,Middleweight
Tim Boetsch,Middleweight
Hector Lombard,Middleweight
Thales Leites,Middleweight
Adam Yandiev,Middleweight
Jordan Johnson,Middleweight
CB Dollaway,Middleweight
Khalid Murtazaliev,Middleweight
Tim Williams,Middleweight
Thiago Santos,Middleweight
Vitor Miranda,Middleweight
Daniel Kelly,Middleweight
James Bochnovic,Middleweight
Lyoto Machida,Middleweight
Vitor Belfort,Middleweight
Rob Wilkinson,Middleweight
Anthony Smith,Middleweight
Oluwale Bamgbose,Middleweight
Antonio Braga Neto,Middleweight
Ryan Janes,Middleweight
Michael Bisping,Middleweight
Nate Marquardt,Middleweight
Johny Hendricks,Middleweight
Georges St-Pierre,Middleweight
Jonathan Wilson,Middleweight
Ramazan Emeev,Middleweight
Siyar Bahadurzada,Middleweight
Brad Scott,Middleweight
Rashad Evans,Middleweight
Rafael Natal,Middleweight
Alex Nicholson,Middleweight
Chris Camozzi,Middleweight
Gegard Mousasi,Middleweight
Scott Askham,Middleweight
Garreth McLellan,Middleweight
Tim Kennedy,Middleweight
Joseph Gigliotti,Middleweight
Keith Berish,Middleweight
Elvis Mutapcic,Middleweight
Magnus Cedenblad,Middleweight
Dan Henderson,Middleweight
Tamdan McCrory,Middleweight
Leonardo Guimaraes,Middleweight
Caio Magalhaes,Middleweight
Kevin Casey,Middleweight
Alberto Uda,Middleweight
Devin Clark,Middleweight
Josh Samman,Middleweight
Jake Collier,Middleweight
Bojan Velickovic,Middleweight
Marcelo Guimaraes,Middleweight
Chris Dempsey,Middleweight
Joe Riggs,Middleweight
Daniel Sarafian,Middleweight
Roan Carneiro,Middleweight
Dongi Yang,Middleweight
Steve Montgomery,Middleweight
Bubba Bush,Middleweight
Ron Stallings,Middleweight
Tom Watson,Middleweight
Clint Hester,Middleweight
Dominique Steele,Middleweight
Ildemar Alcantara,Middleweight
Dan Miller,Middleweight
Eddie Gordon,Middleweight
Steve Bosse,Middleweight
Antonio Dos Santos,Middleweight
Ricardo Abreu,Middleweight
Constantinos Philippou,Middleweight
Luke Barnatt,Middleweight
Mark Munoz,Middleweight
Dylan Andrews,Middleweight
Justin Jones,Middleweight
Roger Narvaez,Middleweight
Patrick Walsh,Middleweight
Ed Herman,Middleweight
Richardson Moreira,Middleweight
Andy Enz,Middleweight
Luke Zachrich,Middleweight
Bruno Santos,Middleweight
Tor Troeng,Middleweight
Lorenz Larkin,Middleweight
Cung Le,Middleweight
Francis Carmont,Middleweight
Cathal Pendred,Middleweight
Mike King,Middleweight
Dhiego Lima,Middleweight
Guilherme Vasconcelos,Middleweight
Andrew Craig,Middleweight
James Te Huna,Middleweight
Marcio Alexandre Junior,Middleweight
Warlley Alves,Middleweight
Wagner Silva,Middleweight
Nordine Taleb,Middleweight
Vik Grujic,Middleweight
Sheldon Westcott,Middleweight
Ronny Markes,Middleweight
Robert McDaniel,Middleweight
Claudio Silva,Middleweight
Mats Nilsson,Middleweight
Nick Catone,Middleweight
Brian Houston,Middleweight
Chris Leben,Middleweight
Nick Ring,Middleweight
Thiago Perpetuo,Middleweight
Alessio Sakara,Middleweight
Nicholas Musoke,Middleweight
Michael Kuiper,Middleweight
Yushin Okami,Middleweight
Jared Hamman,Middleweight
Papy Abedi,Middleweight
John Howard,Middleweight
Roger Gracie,Middleweight
Karlos Vemola,Middleweight
Eddie Mendez,Middleweight
Joao Zeferino,Middleweight
Alan Belcher,Middleweight
Clifford Starks,Middleweight
Bristol Marunde,Middleweight
Jimmy Quinlan,Middleweight
Collin Hart,Middleweight
Gilbert Smith,Middleweight
Tom Lawlor,Middleweight
Adam Cella,Middleweight
