date,weightclass,fighter,rank
2/4/13,Flyweight,Demetrious Johnson,0
2/4/13,Flyweight,Joseph Benavidez,1
2/4/13,Flyweight,John Dodson,2
2/4/13,Flyweight,Ian McCall,3
2/4/13,Flyweight,John Moraga,4
2/4/13,Flyweight,Jussier Formiga,5
2/4/13,Flyweight,Louis Gaudinot,6
2/4/13,Flyweight,Chris Cariaso,7
2/4/13,Flyweight,John Lineker,8
2/4/13,Flyweight,Darren Uyenoyama,9
2/4/13,Flyweight,Ulysses Gomez,10
2/4/13,Bantamweight,Dominick Cruz,0
2/4/13,Bantamweight,Renan Barao,1
2/4/13,Bantamweight,Michael McDonald,2
2/4/13,Bantamweight,Urijah Faber,3
2/4/13,Bantamweight,Eddie Wineland,4
2/4/13,Bantamweight,Brad Pickett,5
2/4/13,Bantamweight,Brian Bowles,6
2/4/13,Bantamweight,Raphael Assuncao,7
2/4/13,Bantamweight,Scott Jorgensen,8
2/4/13,Bantamweight,Mike Easton,9
2/4/13,Bantamweight,Ivan Menjivar,10
2/4/13,Featherweight,Jose Aldo,0
2/4/13,Featherweight,Chad Mendes,1
2/4/13,Featherweight,Ricardo Lamas,2
2/4/13,Featherweight,Chan Sung Jung,3
2/4/13,Featherweight,Frankie Edgar,4
2/4/13,Featherweight,Dennis Siver,5
2/4/13,Featherweight,Cub Swanson,6
2/4/13,Featherweight,Dustin Poirier,7
2/4/13,Featherweight,Nik Lentz,8
2/4/13,Featherweight,Erik Koch,9
2/4/13,Featherweight,Clay Guida,10
2/4/13,Lightweight,Benson Henderson,0
2/4/13,Lightweight,Gilbert Melendez,1
2/4/13,Lightweight,Anthony Pettis,2
2/4/13,Lightweight,Gray Maynard,3
2/4/13,Lightweight,Nate Diaz,4
2/4/13,Lightweight,Jim Miller,5
2/4/13,Lightweight,Donald Cerrone,6
2/4/13,Lightweight,TJ Grant,7
2/4/13,Lightweight,Rafael Dos Anjos,8
2/4/13,Lightweight,Joe Lauzon,9
2/4/13,Lightweight,Khabib Nurmagomedov,10
2/4/13,Welterweight,Georges St. Pierre,0
2/4/13,Welterweight,Johny Hendricks,1
2/4/13,Welterweight,Carlos Condit,2
2/4/13,Welterweight,Nick Diaz,3
2/4/13,Welterweight,Rory MacDonald,4
2/4/13,Welterweight,Demian Maia,5
2/4/13,Welterweight,Jake Ellenberger,6
2/4/13,Welterweight,Martin Kampmann,7
2/4/13,Welterweight,Josh Koscheck,8
2/4/13,Welterweight,Jon Fitch,9
2/4/13,Welterweight,Tarec Saffiedine,10
2/4/13,Middleweight,Anderson Silva,0
2/4/13,Middleweight,Chris Weidman,1
2/4/13,Middleweight,Vitor Belfort,2
2/4/13,Middleweight,Michael Bisping,3
2/4/13,Middleweight,Yushin Okami,4
2/4/13,Middleweight,Mark Munoz,5
2/4/13,Middleweight,Costas Philippou,6
2/4/13,Middleweight,Luke Rockhold,7
2/4/13,Middleweight,Hector Lombard,8
2/4/13,Middleweight,Alan Belcher,9
2/4/13,Middleweight,Tim Boetsch,10
2/4/13,Light Heavyweight,Jon Jones,0
2/4/13,Light Heavyweight,Dan Henderson,1
2/4/13,Light Heavyweight,Lyoto Machida,2
2/4/13,Light Heavyweight,Alexander Gustafsson,3
2/4/13,Light Heavyweight,Glover Teixeira,4
2/4/13,Light Heavyweight,Rogerio Nogueira,5
2/4/13,Light Heavyweight,Rashad Evans,6
2/4/13,Light Heavyweight,Mauricio Rua,7
2/4/13,Light Heavyweight,Phil Davis,8
2/4/13,Light Heavyweight,Ryan Bader,9
2/4/13,Light Heavyweight,Gegard Mousasi,10
2/4/13,Heavyweight,Cain Velasquez,0
2/4/13,Heavyweight,Junior dos Santos,1
2/4/13,Heavyweight,Fabricio Werdum,2
2/4/13,Heavyweight,Daniel Cormier,3
2/4/13,Heavyweight,Antonio Silva,4
2/4/13,Heavyweight,Frank Mir,5
2/4/13,Heavyweight,Alistair Overeem,6
2/4/13,Heavyweight,Minotauro Nogueira,7
2/4/13,Heavyweight,Roy Nelson,8
2/4/13,Heavyweight,Stefan Struve,9
2/4/13,Heavyweight,Shane Carwin,10
2/4/13,Pound-for-Pound,Anderson Silva,1
2/4/13,Pound-for-Pound,Jon Jones,2
2/4/13,Pound-for-Pound,Georges St. Pierre,3
2/4/13,Pound-for-Pound,Jose  Aldo,4
2/4/13,Pound-for-Pound,Benson Henderson,5
2/4/13,Pound-for-Pound,Cain Velasquez,6
2/4/13,Pound-for-Pound,Dominick Cruz,7
2/4/13,Pound-for-Pound,Demetrious Johnson,8
2/4/13,Pound-for-Pound,Frankie Edgar,9
2/4/13,Pound-for-Pound,Dan Henderson,10
2/11/13,Flyweight,Demetrious Johnson,0
2/11/13,Flyweight,Joseph Benavidez,1
2/11/13,Flyweight,John Dodson,2
2/11/13,Flyweight,Ian McCall,3
2/11/13,Flyweight,John Moraga,4
2/11/13,Flyweight,Jussier Formiga,5
2/11/13,Flyweight,Louis Gaudinot,6
2/11/13,Flyweight,Chris Cariaso,7
2/11/13,Flyweight,John Lineker,8
2/11/13,Flyweight,Darren Uyenoyama,9
2/11/13,Flyweight,Ulysses Gomez,10
2/11/13,Bantamweight,Dominick Cruz,0
2/11/13,Bantamweight,Renan Barao,1
2/11/13,Bantamweight,Michael McDonald,2
2/11/13,Bantamweight,Urijah Faber,3
2/11/13,Bantamweight,Eddie Wineland,4
2/11/13,Bantamweight,Brad Pickett,5
2/11/13,Bantamweight,Brian Bowles,6
2/11/13,Bantamweight,Raphael Assuncao,7
2/11/13,Bantamweight,Scott Jorgensen,8
2/11/13,Bantamweight,Mike Easton,9
2/11/13,Bantamweight,Ivan Menjivar,10
2/11/13,Featherweight,Jose Aldo,0
2/11/13,Featherweight,Chad Mendes,1
2/11/13,Featherweight,Ricardo Lamas,2
2/11/13,Featherweight,Chan Sung Jung,3
2/11/13,Featherweight,Frankie Edgar,4
2/11/13,Featherweight,Dennis Siver,5
2/11/13,Featherweight,Cub Swanson,6
2/11/13,Featherweight,Dustin Poirier,7
2/11/13,Featherweight,Nik Lentz,8
2/11/13,Featherweight,Erik Koch,9
2/11/13,Featherweight,Clay Guida,10
2/11/13,Lightweight,Benson Henderson,0
2/11/13,Lightweight,Gilbert Melendez,1
2/11/13,Lightweight,Anthony Pettis,2
2/11/13,Lightweight,Gray Maynard,3
2/11/13,Lightweight,Nate Diaz,4
2/11/13,Lightweight,Jim Miller,5
2/11/13,Lightweight,Donald Cerrone,6
2/11/13,Lightweight,TJ Grant,7
