FIGHTER,STANCE,EVER_CHAMPION,EVER_INTERIM,EVER_CHALLENGER,Total_Rounds,Total_Fights,Wins,Losses,Draws,No_Contests,Win_by_KO_TKO,Win_by_Submission,Win_by_Decision,Loss_by_KO_TKO,Loss_by_Submission,Loss_by_Decision,Total_Fights_with_Title,Wins_with_Title,Losses_with_Title,Draws_with_Title,No_Contests_with_Title,Win_by_KO_TKO_with_Title,Win_by_Submission_with_Title,Win_by_Decision_with_Title,Loss_by_KO_TKO_with_Title,Loss_by_Submission_with_Title,Loss_by_Decision_with_Title,Win_%,Loss_%,KO_Win_%,Sub_Win_%,Dec_Win_%,KO_Loss_%,Sub_Loss_%,Dec_Loss_%,Title_Win_%,Title_Loss_%,Title_KO_Win_%,Title_Sub_Win_%,Title_Dec_Win_%,Title_KO_Loss_%,Title_Sub_Loss_%,Title_Dec_Loss_%,Rounds_per_Fight
Asu Almabayev,,No,No,No,3,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,3.0
CJ Vergara,Orthodox,No,No,No,16,6,3,3,0,0,1,0,2,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,33.33333333333333,0.0,66.66666666666666,0.0,33.33333333333333,66.66666666666666,,,,,,,,,2.6666666666666665
Curtis Blaydes,Orthodox,No,No,No,41,18,13,4,0,1,8,0,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.22222222222221,22.22222222222222,61.53846153846154,0.0,38.46153846153847,100.0,0.0,0.0,,,,,,,,,2.2777777777777777
Jailton Almeida,Orthodox,No,No,No,13,7,6,1,0,0,2,3,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428571428571,14.285714285714285,33.33333333333333,50.0,16.666666666666664,100.0,0.0,0.0,,,,,,,,,1.8571428571428572
Benoit Saint Denis,Southpaw,No,No,No,13,7,5,2,0,0,3,2,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857142857143,28.57142857142857,60.0,40.0,0.0,50.0,0.0,50.0,,,,,,,,,1.8571428571428572
Dustin Poirier,Southpaw,No,Yes,Yes,71,30,22,7,0,1,11,4,7,3,3,1,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,73.33333333333333,23.333333333333332,50.0,18.181818181818183,31.818181818181817,42.857142857142854,42.857142857142854,14.285714285714285,33.33333333333333,66.66666666666666,0.0,0.0,100.0,0.0,100.0,0.0,2.3666666666666667
Gilbert Burns,Orthodox,No,No,Yes,57,22,15,7,0,0,3,5,7,3,0,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,68.18181818181817,31.818181818181817,20.0,33.33333333333333,46.666666666666664,42.857142857142854,0.0,57.14285714285714,0.0,100.0,,,,100.0,0.0,0.0,2.590909090909091
Jack Della Maddalena,Switch,No,No,No,13,7,7,0,0,0,4,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,57.14285714285714,14.285714285714285,28.57142857142857,,,,,,,,,,,,1.8571428571428572
Ion Cutelaba,Southpaw,No,No,No,30,16,6,9,1,0,4,0,2,3,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,56.25,66.66666666666666,0.0,33.33333333333333,33.33333333333333,44.44444444444444,22.22222222222222,,,,,,,,,1.875
Philipe Lins,Orthodox,No,No,No,14,6,4,2,0,0,1,0,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,25.0,0.0,75.0,50.0,0.0,50.0,,,,,,,,,2.3333333333333335
