FIGHTER,STANCE,EVER_CHAMPION,EVER_INTERIM,EVER_CHALLENGER,RA_FIGHTER,RA_KD,RA_TD,RA_SUB.ATT,RA_REV,RA_CTRL,RA_HEAD,RA_BODY,RA_LEG,RA_DISTANCE,RA_CLINCH,RA_GROUND,RA_SIG,RA_TOT.SIG,RA_STR,RA_TOTAL.STR,RA_TOTAL.TD,RA_TOTAL.HEAD,RA_TOTAL.BODY,RA_TOTAL.LEG,RA_TOTAL.DISTANCE,RA_TOTAL.CLINCH,RA_TOTAL.GROUND,RA_OPP_KD,RA_OPP_TD,RA_OPP_SUB.ATT,RA_OPP_REV,RA_OPP_CTRL,RA_OPP_HEAD,RA_OPP_BODY,RA_OPP_LEG,RA_OPP_DISTANCE,RA_OPP_CLINCH,RA_OPP_GROUND,RA_OPP_SIG,RA_OPP_TOT.SIG,RA_OPP_STR,RA_OPP_TOTAL.STR,RA_OPP_TOTAL.TD,RA_OPP_TOTAL.HEAD,RA_OPP_TOTAL.BODY,RA_OPP_TOTAL.LEG,RA_OPP_TOTAL.DISTANCE,RA_OPP_TOTAL.CLINCH,RA_OPP_TOTAL.GROUND,RA_TD_DEF,RA_HEAD_DEF,RA_BODY_DEF,RA_LEG_DEF,RA_DISTANCE_DEF,RA_CLINCH_DEF,RA_GROUND_DEF,RA_SIG_DEF,RA_STR_DEF,RA_TD_%,RA_HEAD_%,RA_BODY_%,RA_LEG_%,RA_DISTANCE_%,RA_CLINCH_%,RA_GROUND_%,RA_SIG_%,RA_STR_%,RA_TD_DEF_%,RA_HEAD_DEF_%,RA_BODY_DEF_%,RA_LEG_DEF_%,RA_DISTANCE_DEF_%,RA_CLINCH_DEF_%,RA_GROUND_DEF_%,RA_SIG_DEF_%,RA_STR_DEF_%
Asu Almabayev,,No,No,No,Asu Almabayev,0.0,3.0,0.0,0.0,3.1777777777777776,7.333333333333333,3.0,4.333333333333333,7.666666666666667,2.6666666666666665,4.333333333333333,14.666666666666666,25.666666666666668,28.333333333333332,44.0,4.666666666666667,17.666666666666668,3.6666666666666665,4.333333333333333,17.0,3.3333333333333335,5.333333333333333,0.0,0.0,0.0,0.0,0.07777777777777777,4.333333333333333,4.666666666666667,0.6666666666666666,7.333333333333333,1.3333333333333333,1.0,9.666666666666666,17.666666666666668,22.0,30.666666666666668,0.0,10.666666666666666,5.666666666666667,1.3333333333333333,15.333333333333334,1.3333333333333333,1.0,0.0,6.333333333333333,1.0,0.6666666666666666,8.0,0.0,0.0,8.0,8.666666666666666,0.6428571428571428,0.4150943396226415,0.8181818181818182,0.6923076923076924,0.45098039215686275,0.7999999999999999,0.8125,0.5714285714285714,0.6439393939393939,,0.59375,0.17647058823529416,1.0,0.5217391304347827,0.0,0.0,0.4528301886792454,0.28260869565217395
CJ Vergara,Orthodox,No,No,No,CJ Vergara,0.0,0.0,0.05555555555555555,0.05555555555555555,0.6814814814814815,12.75,9.861111111111112,3.0833333333333335,18.25,2.5,4.944444444444444,25.694444444444446,44.611111111111114,37.11111111111111,57.30555555555555,0.0,28.472222222222225,12.638888888888891,3.5,34.11111111111111,3.25,7.25,0.1111111111111111,1.0,0.3055555555555555,0.13888888888888887,1.2587962962962962,14.0,5.777777777777779,2.9166666666666665,19.72222222222222,1.527777777777778,1.4444444444444446,22.694444444444446,48.111111111111114,27.36111111111111,54.02777777777778,2.555555555555556,37.333333333333336,7.638888888888889,3.138888888888889,44.25,2.0277777777777777,1.8333333333333333,1.5555555555555556,23.333333333333332,1.8611111111111114,0.2222222222222222,24.527777777777775,0.5,0.38888888888888884,25.416666666666668,26.666666666666668,,0.44780487804878044,0.7802197802197802,0.0,0.5350162866449512,0.7692307692307693,0.6819923371647508,0.5759651307596513,0.6476005816771692,0.6086956521739131,0.625,0.24363636363636354,0.6814159292035398,0.5543000627746391,0.2465753424657533,0.21212121212121193,0.5282909930715936,0.493573264781491
Curtis Blaydes,Orthodox,No,No,No,Curtis Blaydes,0.024444444444444442,1.8866666666666667,0.0,0.0,2.6708888888888884,8.462222222222222,1.548888888888889,1.5,5.433333333333334,1.9,4.177777777777778,11.511111111111111,21.655555555555555,22.5,35.10666666666667,3.837777777777778,18.253333333333334,1.7266666666666666,1.6755555555555552,14.16888888888889,2.1977777777777776,5.288888888888889,0.04666666666666667,0.3333333333333333,0.026666666666666665,0.0,0.2168148148148148,5.788888888888889,1.411111111111111,0.4,6.8822222222222225,0.5422222222222223,0.17555555555555555,7.6,19.677777777777777,26.98888888888889,40.00888888888889,0.6133333333333333,17.313333333333333,1.9066666666666667,0.45777777777777773,18.555555555555554,0.9022222222222223,0.22000000000000003,0.27999999999999997,11.524444444444445,0.4955555555555556,0.057777777777777775,11.673333333333334,0.36,0.04444444444444444,12.077777777777778,13.02,0.49160393746381004,0.4635987338690041,0.8970398970398972,1.1259946949602124,0.38346925972396484,0.8645096056622852,0.7899159663865547,0.5315546434068753,0.6409039118875807,0.4565217391304348,0.6656398408419972,0.25990675990676004,0.27184466019417475,0.6291017964071856,0.3990147783251231,0.2020202020202022,0.6137775268210051,0.3254276827371695
Jailton Almeida,Orthodox,No,No,No,Jailton Almeida,0.0,1.4761904761904763,0.30476190476190473,0.2,3.737936507936508,8.58095238095238,0.5714285714285714,0.26666666666666666,0.6476190476190476,0.6,8.171428571428573,9.41904761904762,14.228571428571428,27.542857142857144,35.98095238095238,3.4095238095238094,12.971428571428572,0.6285714285714286,0.6285714285714286,1.4095238095238094,1.6,11.219047619047618,0.0,0.0,0.0,0.0,0.19873015873015873,3.676190476190476,0.2571428571428571,0.02857142857142857,0.3238095238095238,0.2,3.438095238095238,3.961904761904762,7.352380952380952,5.923809523809524,10.219047619047618,0.4,6.80952380952381,0.5142857142857142,0.02857142857142857,1.9333333333333336,0.2,5.219047619047619,0.4,3.1333333333333333,0.2571428571428571,0.0,1.6095238095238096,0.0,1.780952380952381,3.3904761904761904,4.295238095238095,0.4329608938547486,0.6615271659324522,0.9090909090909091,2.3484848484848486,0.45945945945945954,0.37499999999999994,0.7283531409168083,0.6619812583668006,0.7654843832715723,1.0,0.4601398601398602,0.5,1.0,0.8325123152709359,0.0,0.3412408759124088,0.46113989637305697,0.42031686859273054
Benoit Saint Denis,Southpaw,No,No,No,Benoit Saint Denis,0.20952380952380953,0.8952380952380953,0.2571428571428571,0.047619047619047616,1.4334920634920634,11.952380952380954,6.561904761904763,2.961904761904762,14.514285714285714,2.7619047619047614,4.2,21.476190476190478,39.304761904761904,29.76190476190476,49.047619047619044,3.7809523809523813,28.19047619047619,8.057142857142857,3.057142857142857,28.00952380952381,3.5047619047619047,7.790476190476191,0.06666666666666667,0.20952380952380953,0.3238095238095238,0.0,0.5473015873015873,11.952380952380954,6.828571428571429,2.657142857142857,16.56190476190476,3.5809523809523807,1.2952380952380953,21.43809523809524,38.00952380952381,25.419047619047618,42.79047619047619,0.6761904761904761,27.08571428571429,7.885714285714286,3.038095238095238,31.771428571428572,4.942857142857143,1.2952380952380953,0.4666666666666666,15.133333333333333,1.0571428571428572,0.38095238095238093,15.209523809523809,1.3619047619047617,0.0,16.571428571428573,17.37142857142857,0.2367758186397985,0.42398648648648657,0.814420803782506,0.2928348909657321,0.5181910914654879,0.7880434782608694,0.539119804400978,0.5464017446086746,0.6067961165048543,0.6901408450704225,0.5587201125175809,0.13405797101449268,0.9310344827586207,0.4787170263788969,0.2755298651252409,0.0,0.43598095715359564,0.4059648341865124
Dustin Poirier,Southpaw,No,Yes,Yes,Dustin Poirier,0.10476190476190475,0.3571428571428571,0.3404761904761905,0.03238095238095238,0.9378968253968253,19.855238095238096,2.094761904761905,1.6228571428571428,18.732857142857142,2.65,2.19,23.572857142857142,43.810476190476194,29.18,49.939523809523806,0.9914285714285714,39.13809523809524,2.737142857142857,1.9352380952380954,36.82952380952381,3.870476190476191,3.1104761904761906,0.022857142857142857,0.4447619047619048,0.38190476190476186,0.02571428571428571,0.7987063492063491,12.851904761904763,4.429523809523809,1.8523809523809525,15.667142857142858,2.081904761904762,1.3847619047619049,19.133809523809525,41.79428571428572,25.08857142857143,48.28380952380952,1.3209523809523809,33.87523809523809,5.76095238095238,2.158095238095238,37.06857142857143,3.0228571428571427,1.7028571428571428,0.8761904761904763,21.023333333333333,1.3314285714285714,0.3057142857142857,21.40142857142857,0.940952380952381,0.3180952380952381,22.660476190476192,23.195238095238096,0.3602305475504322,0.5073123251003772,0.7653096729297147,0.18454724409448814,0.508636963098963,0.684670275590551,0.7040722596448254,0.5380643899045672,0.5843067329055144,0.6633020908435472,0.6206106441001995,0.23111258059183326,0.793909973521624,0.5773470016956991,0.31127914303717696,0.18680089485458606,0.5421907756813418,0.48039370389364466
Gilbert Burns,Orthodox,No,No,Yes,Gilbert Burns,0.04171122994652406,0.5307104660045836,0.18846447669977082,0.0,1.0513076139546729,8.479373567608862,3.6937356760886173,3.561955691367456,12.524293353705119,1.5353705118411,1.6754010695187165,15.735064935064935,30.13376623376623,24.078151260504203,39.10893812070283,1.9515660809778457,21.409014514896867,4.409702062643239,4.315049656226127,26.107944996180287,1.9718105423987775,2.0540106951871655,0.09365928189457601,0.13017570664629488,0.00909090909090909,0.0,0.4922650878533231,11.871428571428572,4.073414820473644,1.7433919022154316,15.548357524828111,1.317188693659282,0.8226890756302521,17.688235294117646,36.805805958747136,22.14400305576776,41.63644003055768,0.3539343009931245,29.493735676088612,5.339801375095493,1.9722689075630253,34.03644003055768,1.6087853323147443,1.1605805958747133,0.22375859434682965,17.622307104660045,1.2663865546218487,0.22887700534759362,18.488082505729565,0.29159663865546215,0.3378915202444614,19.11757066462949,19.492436974789918,0.2719408126516871,0.3960655714306105,0.8376383763837638,0.12299058140358331,0.4797119557107034,0.7786602611289761,0.8156730018224422,0.5221738568288584,0.6156687554694337,0.6322037556658753,0.5974932201941083,0.23715986151248958,0.9339969787349421,0.5431849655584161,0.18125267106700227,0.291140073723012,0.5194172540619526,0.4681581076692458
Jack Della Maddalena,Switch,No,No,No,Jack Della Maddalena,0.34920634920634924,0.1111111111111111,0.047619047619047616,0.0,0.21587301587301588,18.476190476190478,7.714285714285714,2.714285714285714,23.3015873015873,2.8571428571428577,2.7460317460317465,28.9047619047619,51.46031746031746,36.714285714285715,60.507936507936506,0.20634920634920637,37.65079365079365,10.634920634920634,3.1746031746031744,44.55555555555555,3.6666666666666665,3.2380952380952386,0.0,0.7777777777777777,0.047619047619047616,0.1111111111111111,1.0658730158730159,10.761904761904761,4.111111111111111,3.8253968253968256,17.444444444444446,1.2063492063492063,0.047619047619047616,18.6984126984127,56.58730158730159,20.603174603174605,58.714285714285715,3.301587301587302,44.74603174603175,7.222222222222222,4.6190476190476195,54.98412698412699,1.5555555555555556,0.047619047619047616,2.5238095238095233,33.98412698412699,3.111111111111111,0.7936507936507936,37.53968253968254,0.34920634920634924,0.0,37.888888888888886,38.11111111111111,0.5384615384615384,0.4907251264755481,0.7253731343283583,0.035,0.5229782686141788,0.7792207792207794,0.8480392156862745,0.5616903146206045,0.6067681007345226,0.764423076923077,0.7594891805604824,0.4307692307692308,0.8316151202749141,0.6827367205542725,0.22448979591836737,0.0,0.6695652173913043,0.6490943498242768
Ion Cutelaba,Southpaw,No,No,No,Ion Cutelaba,0.041666666666666664,0.9722222222222222,0.0,0.0,0.8586805555555554,13.006944444444445,2.6597222222222223,1.3194444444444444,10.354166666666666,3.465277777777778,3.1666666666666665,16.98611111111111,42.74305555555555,24.541666666666668,51.333333333333336,1.8819444444444444,37.4375,3.888888888888889,1.4166666666666667,33.354166666666664,5.201388888888888,4.1875,0.08333333333333333,0.3125,0.18055555555555555,0.020833333333333332,0.7967592592592592,11.583333333333334,1.875,1.875,11.75,2.152777777777778,1.4305555555555556,15.333333333333334,29.1875,21.3125,36.24305555555555,1.298611111111111,24.70138888888889,2.4930555555555554,1.9930555555555556,24.104166666666668,3.0555555555555554,2.0277777777777777,0.986111111111111,13.118055555555555,0.6180555555555555,0.11805555555555554,12.354166666666666,0.9027777777777778,0.5972222222222222,13.854166666666666,14.930555555555557,0.5166051660516605,0.3474309033574476,0.6839285714285714,0.6862745098039216,0.31043098063710184,0.6662216288384514,0.7562189054726368,0.39740048740861095,0.4780844155844156,0.7593582887700534,0.5310655046387405,0.24791086350974922,0.8432055749128919,0.5125324114088159,0.2954545454545453,0.29452054794520544,0.47466095645967166,0.41195631347001327
Philipe Lins,Orthodox,No,No,No,Philipe Lins,0.05555555555555555,0.5555555555555555,0.0,0.0,1.5333333333333332,10.222222222222221,3.8888888888888893,3.055555555555556,14.222222222222221,2.2222222222222223,0.7222222222222223,17.166666666666668,34.97222222222222,20.583333333333332,38.55555555555555,1.6388888888888886,25.777777777777775,5.555555555555556,3.6388888888888893,31.0,3.0,0.9722222222222223,0.05555555555555555,0.0,0.0,0.0,0.20555555555555557,6.722222222222222,4.972222222222222,4.472222222222222,12.444444444444445,3.5833333333333335,0.13888888888888887,16.166666666666668,30.75,30.13888888888889,45.138888888888886,0.38888888888888884,19.472222222222225,6.111111111111111,5.166666666666667,25.833333333333332,4.777777777777778,0.13888888888888887,0.38888888888888884,12.75,1.1388888888888888,0.6944444444444443,13.388888888888888,1.1944444444444444,0.0,14.583333333333334,15.0,0.3389830508474576,0.39655172413793105,0.7,0.1526717557251908,0.45878136200716846,0.7407407407407408,0.7428571428571429,0.49086576648133445,0.5338616714697407,1.0,0.6547788873038517,0.1863636363636363,1.0,0.5182795698924731,0.25,0.0,0.4742547425474254,0.3323076923076923
