FIGHTER,WEIGHTCLASS
Gilbert Burns,Welterweight
Jack Della Maddalena,Welterweight
Kevin Holland,Welterweight
Michael Page,Welterweight
Geoff Neal,Welterweight
Ian Machado Garry,Welterweight
Danny Barlow,Welterweight
Josh Quinlan,Welterweight
Oban Elliott,Welterweight
Val Woodburn,Welterweight
Jeremiah Wells,Welterweight
Max Griffin,Welterweight
Carlos Prates,Welterweight
Trevin Giles,Welterweight
Charles Radtke,Welterweight
Gilbert Urbina,Welterweight
Muslim Salikhov,Welterweight
Randy Brown,Welterweight
Pete Rodriguez,Welterweight
Themba Gorimbo,Welterweight
Mike Malott,Welterweight
Neil Magny,Welterweight
Sam Patterson,Welterweight
Yohan Lainesse,Welterweight
Matthew Semelsberger,Welterweight
Preston Parsons,Welterweight
Colby Covington,Welterweight
Leon Edwards,Welterweight
Shavkat Rakhmonov,Welterweight
Stephen Thompson,Welterweight
Kevin Jousset,Welterweight
Song Kenan,Welterweight
Kelvin Gastelum,Welterweight
Sean Brady,Welterweight
Jared Gooden,Welterweight
Wellington Turman,Welterweight
Jake Matthews,Welterweight
Michael Morales,Welterweight
Myktybek Orolbai,Welterweight
Uros Medic,Welterweight
Gabriel Bonfim,Welterweight
Nicolas Dalby,Welterweight
Elizeu Zaleski dos Santos,Welterweight
Rinat Fakhretdinov,Welterweight
Alex Morono,Welterweight
Joaquin Buckley,Welterweight
AJ Fletcher,Welterweight
Bryan Battle,Welterweight
Andre Fialho,Welterweight
Tim Means,Welterweight
Blood Diamond,Welterweight
Kiefer Crosbie,Welterweight
Ange Loosa,Welterweight
Rhys McKee,Welterweight
Ian Garry,Welterweight
Rafael Dos Anjos,Welterweight
Vicente Luque,Welterweight
Carlston Harris,Welterweight
Darrius Flowers,Welterweight
Michael Chiesa,Welterweight
Danny Roberts,Welterweight
Jonny Parsons,Welterweight
Bassil Hafez,Welterweight
Niko Price,Welterweight
Robbie Lawler,Welterweight
Kevin Lee,Welterweight
Phil Rowe,Welterweight
Adam Fugitt,Welterweight
Abubakar Nurmagomedov,Welterweight
Orion Cosce,Welterweight
Takashi Sato,Welterweight
Gabe Green,Welterweight
Daniel Rodriguez,Welterweight
Court McGee,Welterweight
Matt Brown,Welterweight
Belal Muhammad,Welterweight
Khaos Williams,Welterweight
Rolando Bedoya,Welterweight
Trey Waters,Welterweight
Jorge Masvidal,Welterweight
Santiago Ponzinibbio,Welterweight
Bryan Barberena,Welterweight
Gunnar Nelson,Welterweight
Kamaru Usman,Welterweight
Yusaku Kinoshita,Welterweight
Mounir Lazzez,Welterweight
Warlley Alves,Welterweight
Gadzhi Omargadzhiev,Welterweight
Mike Jackson,Welterweight
Francisco Trinaldo,Welterweight
Louis Cosce,Welterweight
Darian Weeks,Welterweight
Nate Diaz,Welterweight
Tony Ferguson,Welterweight
Claudio Silva,Welterweight
Li Jingliang,Welterweight
Donald Cerrone,Welterweight
Jim Miller,Welterweight
Ramazan Emeev,Welterweight
Andreas Michailidis,Welterweight
Michel Pereira,Welterweight
Cameron VanCamp,Welterweight
Dean Barry,Welterweight
Dwight Grant,Welterweight
Sergey Khandozhko,Welterweight
Evan Elder,Welterweight
Miguel Baeza,Welterweight
Khamzat Chimaev,Welterweight
Mickey Gall,Welterweight
Alex Oliveira,Welterweight
Micheal Gillmore,Welterweight
Ramiz Brahimaj,Welterweight
Jason Witt,Welterweight
Jordan Williams,Welterweight
Benoit Saint Denis,Welterweight
Martin Sano,Welterweight
Impa Kasanganay,Welterweight
David Zawada,Welterweight
Sasha Palatnikov,Welterweight
Niklas Stolze,Welterweight
Carlos Condit,Welterweight
Michel Prazeres,Welterweight
Dhiego Lima,Welterweight
Demian Maia,Welterweight
Christian Aguilera,Welterweight
Stefan Sekulic,Welterweight
Mike Perry,Welterweight
Tyron Woodley,Welterweight
Anthony Pettis,Welterweight
Alan Jouban,Welterweight
