FIGHTER,WEIGHTCLASS
Jasmine Jasudavicius,Women's Bantamweight
Priscila Cachoeira,Women's Bantamweight
Mayra Bueno Silva,Women's Bantamweight
Raquel Pennington,Women's Bantamweight
Irene Aldana,Women's Bantamweight
Karol Rosa,Women's Bantamweight
Luana Santos,Women's Bantamweight
Stephanie Egger,Women's Bantamweight
Julia Avila,Women's Bantamweight
Miesha Tate,Women's Bantamweight
Ailin Perez,Women's Bantamweight
Lucie Pudilova,Women's Bantamweight
Irina Alekseeva,Women's Bantamweight
Melissa Dixon,Women's Bantamweight
Ravena Oliveira,Women's Bantamweight
Tainara Lisboa,Women's Bantamweight
Montserrat Rendon,Women's Bantamweight
Tamires Vidal,Women's Bantamweight
Joselyne Edwards,Women's Bantamweight
Nora Cornolle,Women's Bantamweight
Ketlen Vieira,Women's Bantamweight
Pannie Kianzad,Women's Bantamweight
Ashlee Evans-Smith,Women's Bantamweight
Holly Holm,Women's Bantamweight
Amanda Nunes,Women's Bantamweight
Jessica-Rose Clark,Women's Bantamweight
Hailey Cowan,Women's Bantamweight
Jamey-Lyn Horth,Women's Bantamweight
Yana Santos,Women's Bantamweight
Lina Lansberg,Women's Bantamweight
Ramona Pascual,Women's Bantamweight
Wu Yanan,Women's Bantamweight
Ariane Lipski,Women's Bantamweight
Ji Yeon Kim,Women's Bantamweight
Julianna Pena,Women's Bantamweight
Julija Stoliarenko,Women's Bantamweight
Aspen Ladd,Women's Bantamweight
Sara McMann,Women's Bantamweight
Alexis Davis,Women's Bantamweight
Bethe Correia,Women's Bantamweight
Shanna Young,Women's Bantamweight
Bea Malecki,Women's Bantamweight
Josiane Nunes,Women's Bantamweight
Marion Reneau,Women's Bantamweight
Yana Kunitskaya,Women's Bantamweight
Macy Chiasson,Women's Bantamweight
Sabina Mazo,Women's Bantamweight
Sarah Moras,Women's Bantamweight
Vanessa Melo,Women's Bantamweight
Sijara Eubanks,Women's Bantamweight
Norma Dumont,Women's Bantamweight
Tracy Cortez,Women's Bantamweight
Germaine de Randamie,Women's Bantamweight
Sarah Alpar,Women's Bantamweight
Gina Mazany,Women's Bantamweight
Veronica Macedo,Women's Bantamweight
Liana Jojua,Women's Bantamweight
Lara Procopio,Women's Bantamweight
Nicco Montano,Women's Bantamweight
Duda Santana,Women's Bantamweight
Tonya Evinger,Women's Bantamweight
Talita Bernardo,Women's Bantamweight
Viviane Araujo,Women's Bantamweight
Cat Zingano,Women's Bantamweight
Valentina Shevchenko,Women's Bantamweight
Amanda Lemos,Women's Bantamweight
Leslie Smith,Women's Bantamweight
Cindy Dandois,Women's Bantamweight
Katlyn Chookagian,Women's Bantamweight
Ronda Rousey,Women's Bantamweight
Milana Dudieva,Women's Bantamweight
Liz Carmouche,Women's Bantamweight
Kelly Faszholz,Women's Bantamweight
Jessica Eye,Women's Bantamweight
Elizabeth Phillips,Women's Bantamweight
Lauren Murphy,Women's Bantamweight
Anna Elmose,Women's Bantamweight
Rin Nakai,Women's Bantamweight
Sarah Kaufman,Women's Bantamweight
Jessica Andrade,Women's Bantamweight
Jessamyn Duke,Women's Bantamweight
Shayna Baszler,Women's Bantamweight
Larissa Pacheco,Women's Bantamweight
Alexis Dufresne,Women's Bantamweight
Valerie Letourneau,Women's Bantamweight
Julie Kedzie,Women's Bantamweight
Peggy Morgan,Women's Bantamweight
Jessica Rakoczy,Women's Bantamweight
Roxanne Modafferi,Women's Bantamweight
Rosi Sexton,Women's Bantamweight
Sheila Gaff,Women's Bantamweight
