FIGHTER,WEIGHTCLASS
Chelsea Chandler,Women's Featherweight
Norma Dumont,Women's Featherweight
Karol Rosa,Women's Featherweight
Yana Santos,Women's Featherweight
Josiane Nunes,Women's Featherweight
Zarah Fairn,Women's Featherweight
Danyelle Wolf,Women's Featherweight
Ailin Perez,Women's Featherweight
Stephanie Egger,Women's Featherweight
Joselyne Edwards,Women's Featherweight
Ramona Pascual,Women's Featherweight
Macy Chiasson,Women's Featherweight
Raquel Pennington,Women's Featherweight
Felicia Spencer,Women's Featherweight
Leah Letson,Women's Featherweight
Aspen Ladd,Women's Featherweight
Amanda Nunes,Women's Featherweight
Megan Anderson,Women's Featherweight
Cristiane Justino,Women's Featherweight
Cat Zingano,Women's Featherweight
Julija Stoliarenko,Women's Featherweight
Pannie Kianzad,Women's Featherweight
Holly Holm,Women's Featherweight
Yana Kunitskaya,Women's Featherweight
Tonya Evinger,Women's Featherweight
Germaine de Randamie,Women's Featherweight
