FIGHTER,WEIGHTCLASS
Joanne Wood,Women's Flyweight
Maryna Moroz,Women's Flyweight
Katlyn Cerminara,Women's Flyweight
Maycee Barber,Women's Flyweight
Andrea Lee,Women's Flyweight
Miranda Maverick,Women's Flyweight
Julija Stoliarenko,Women's Flyweight
Luana Carolina,Women's Flyweight
Natalia Silva,Women's Flyweight
Viviane Araujo,Women's Flyweight
Ariane Lipski,Women's Flyweight
Casey O'Neill,Women's Flyweight
Jamey-Lyn Horth,Women's Flyweight
Veronica Hardy,Women's Flyweight
Jennifer Maia,Women's Flyweight
JJ Aldrich,Women's Flyweight
Montana De La Rosa,Women's Flyweight
Alexa Grasso,Women's Flyweight
Valentina Shevchenko,Women's Flyweight
Jasmine Jasudavicius,Women's Flyweight
Tracy Cortez,Women's Flyweight
Manon Fiorot,Women's Flyweight
Rose Namajunas,Women's Flyweight
Karine Silva,Women's Flyweight
Juliana Miller,Women's Flyweight
Luana Santos,Women's Flyweight
Priscila Cachoeira,Women's Flyweight
Molly McCann,Women's Flyweight
Melissa Gatto,Women's Flyweight
Ivana Petrovic,Women's Flyweight
Amanda Ribas,Women's Flyweight
Gabriella Fernandes,Women's Flyweight
Tereza Bleda,Women's Flyweight
Ketlen Souza,Women's Flyweight
Victoria Leonardo,Women's Flyweight
Ji Yeon Kim,Women's Flyweight
Mandy Bohm,Women's Flyweight
Brogan Walker,Women's Flyweight
Iasmin Lucindo,Women's Flyweight
Tatiana Suarez,Women's Flyweight
Erin Blanchfield,Women's Flyweight
Jessica Andrade,Women's Flyweight
Lauren Murphy,Women's Flyweight
Shanna Young,Women's Flyweight
Katlyn Chookagian,Women's Flyweight
Gillian Robertson,Women's Flyweight
Mariya Agapova,Women's Flyweight
Cynthia Calvillo,Women's Flyweight
Nina Nunes,Women's Flyweight
Hannah Goldy,Women's Flyweight
Miesha Tate,Women's Flyweight
Antonina Shevchenko,Women's Flyweight
Cortney Casey,Women's Flyweight
Jessica Eye,Women's Flyweight
Taila Santos,Women's Flyweight
Poliana Botelho,Women's Flyweight
Gina Mazany,Women's Flyweight
Sabina Mazo,Women's Flyweight
Roxanne Modafferi,Women's Flyweight
Kay Hansen,Women's Flyweight
Sijara Eubanks,Women's Flyweight
Liana Jojua,Women's Flyweight
Loopy Godinez,Women's Flyweight
Mayra Bueno Silva,Women's Flyweight
Emily Whitmire,Women's Flyweight
Sarah Alpar,Women's Flyweight
Vanessa Demopoulos,Women's Flyweight
Elise Reed,Women's Flyweight
Lara Procopio,Women's Flyweight
Tabatha Ricci,Women's Flyweight
Marina Rodriguez,Women's Flyweight
Michelle Waterson,Women's Flyweight
Justine Kish,Women's Flyweight
Shana Dobson,Women's Flyweight
Rachael Ostovich,Women's Flyweight
Liliya Shakirova,Women's Flyweight
Mara Romero Borella,Women's Flyweight
Diana Belbita,Women's Flyweight
Paige VanZant,Women's Flyweight
Hannah Cifers,Women's Flyweight
Lucie Pudilova,Women's Flyweight
Isabela de Padua,Women's Flyweight
Lauren Mueller,Women's Flyweight
Nadia Kassem,Women's Flyweight
Inoue Mizuki,Women's Flyweight
Wu Yanan,Women's Flyweight
Liz Carmouche,Women's Flyweight
Polyana Viana,Women's Flyweight
Veronica Macedo,Women's Flyweight
Miranda Granger,Women's Flyweight
Alexis Davis,Women's Flyweight
Sarah Frota,Women's Flyweight
Ashlee Evans-Smith,Women's Flyweight
Joanna Jedrzejczyk,Women's Flyweight
Kalindra Faria,Women's Flyweight
Barb Honchak,Women's Flyweight
Jessica-Rose Clark,Women's Flyweight
Melinda Fabian,Women's Flyweight
Bec Rawlings,Women's Flyweight
Ariel Beck,Women's Flyweight
Christina Marks,Women's Flyweight
DeAnna Bennett,Women's Flyweight
Karine Gevorgyan,Women's Flyweight
Nicco Montano,Women's Flyweight
Valerie Letourneau,Women's Flyweight
