FIGHTER,WEIGHTCLASS
Sam Hughes,Women's Strawweight
Yazmin Jauregui,Women's Strawweight
Amanda Lemos,Women's Strawweight
Mackenzie Dern,Women's Strawweight
Bruna Brasil,Women's Strawweight
Loma Lookboonmee,Women's Strawweight
Diana Belbita,Women's Strawweight
Molly McCann,Women's Strawweight
Gillian Robertson,Women's Strawweight
Polyana Viana,Women's Strawweight
Rayanne Amanda,Women's Strawweight
Talita Alencar,Women's Strawweight
Amanda Ribas,Women's Strawweight
Luana Pinheiro,Women's Strawweight
Jessica Andrade,Women's Strawweight
Loopy Godinez,Women's Strawweight
Tabatha Ricci,Women's Strawweight
Angela Hill,Women's Strawweight
Denise Gomes,Women's Strawweight
Eduarda Moura,Women's Strawweight
Montserrat Conejo Ruiz,Women's Strawweight
Ashley Yoder,Women's Strawweight
Emily Ducote,Women's Strawweight
Karolina Kowalkiewicz,Women's Strawweight
Kanako Murata,Women's Strawweight
Vanessa Demopoulos,Women's Strawweight
Marina Rodriguez,Women's Strawweight
Michelle Waterson-Gomez,Women's Strawweight
Hannah Goldy,Women's Strawweight
Mizuki,Women's Strawweight
Josefine Knutsson,Women's Strawweight
Marnic Mann,Women's Strawweight
Elise Reed,Women's Strawweight
Zhang Weili,Women's Strawweight
Jaqueline Amorim,Women's Strawweight
Iasmin Lucindo,Women's Strawweight
Tatiana Suarez,Women's Strawweight
Shauna Bannon,Women's Strawweight
Istela Nunes,Women's Strawweight
Viktoriia Dudakova,Women's Strawweight
Maria Oliveira,Women's Strawweight
Jinh Yu Frey,Women's Strawweight
Yan Xiaonan,Women's Strawweight
Virna Jandiroba,Women's Strawweight
Piera Rodriguez,Women's Strawweight
Cynthia Calvillo,Women's Strawweight
Jessica Penne,Women's Strawweight
Cheyanne Vlismas,Women's Strawweight
Cory McKenna,Women's Strawweight
Carla Esparza,Women's Strawweight
Silvana Gomez Juarez,Women's Strawweight
Melissa Martinez,Women's Strawweight
Miranda Granger,Women's Strawweight
Gloria de Paula,Women's Strawweight
Liang Na,Women's Strawweight
Joanna Jedrzejczyk,Women's Strawweight
Felice Herrig,Women's Strawweight
Ariane Carnelossi,Women's Strawweight
Rose Namajunas,Women's Strawweight
Tecia Torres,Women's Strawweight
Kay Hansen,Women's Strawweight
Mallory Martin,Women's Strawweight
Livinha Souza,Women's Strawweight
Randa Markos,Women's Strawweight
Montserrat Conejo,Women's Strawweight
Na Liang,Women's Strawweight
Nina Nunes,Women's Strawweight
Claudia Gadelha,Women's Strawweight
Michelle Waterson,Women's Strawweight
Hannah Cifers,Women's Strawweight
Emily Whitmire,Women's Strawweight
Inoue Mizuki,Women's Strawweight
Brianna Van Buren,Women's Strawweight
Aleksandra Albu,Women's Strawweight
Alexa Grasso,Women's Strawweight
Jodie Esquibel,Women's Strawweight
Syuri Kondo,Women's Strawweight
Jessica Aguilar,Women's Strawweight
Cortney Casey,Women's Strawweight
Sarah Frota,Women's Strawweight
Poliana Botelho,Women's Strawweight
Amanda Cooper,Women's Strawweight
Maycee Barber,Women's Strawweight
Alex Chambers,Women's Strawweight
Danielle Taylor,Women's Strawweight
JJ Aldrich,Women's Strawweight
Jamie Moyle,Women's Strawweight
Viviane Pereira,Women's Strawweight
Maryna Moroz,Women's Strawweight
Maia Stevenson,Women's Strawweight
Juliana Lima,Women's Strawweight
Angela Magana,Women's Strawweight
Kailin Curran,Women's Strawweight
Nadia Kassem,Women's Strawweight
Pearl Gonzalez,Women's Strawweight
Chan-Mi Jeon,Women's Strawweight
Joanne Wood,Women's Strawweight
Justine Kish,Women's Strawweight
Bec Rawlings,Women's Strawweight
Jocelyn Jones-Lybarger,Women's Strawweight
Paige VanZant,Women's Strawweight
Valerie Letourneau,Women's Strawweight
Seo Hee Ham,Women's Strawweight
Anna Elmose,Women's Strawweight
Heather Clark,Women's Strawweight
Cristina Stanciu,Women's Strawweight
Emily Kagan,Women's Strawweight
Aisling Daly,Women's Strawweight
Ericka Almeida,Women's Strawweight
Lisa Ellis,Women's Strawweight
Jessica Rakoczy,Women's Strawweight
Izabela Badurek,Women's Strawweight
Tina Lahdemaki,Women's Strawweight
